author,quote,no_stopwords,lemmatized,stemmed
Ambrose Gwinett Bierce,"RECRUIT, n. A person distinguishable from a civilian by his uniform and from a soldier by his gait.Fresh from the farm or factory or street, His marching, in pursuit or in retreat, Were an impressive martial spectacle Except for two impediments --his feet. --Thompson Johnson",RECRUIT n person distinguishable civilian uniform soldier gait Fresh farm factory street marching pursuit retreat impressive martial spectacle Except two impediments feet Thompson Johnson,RECRUIT n person distinguishable civilian uniform soldier gait Fresh farm factory street march pursuit retreat impressive martial spectacle Except two impediment foot Thompson Johnson,recruit n person distinguish civilian uniform soldier gait fresh farm factori street march pursuit retreat impress martial spectacl except two impedi foot thompson johnson
Ambrose Gwinett Bierce,"RANK, n. Relative elevation in the scale of human worth.",RANK n Relative elevation scale human worth,RANK n Relative elevation scale human worth,rank n relat elev scale human worth
Ambrose Gwinett Bierce,"RANK, n. Relative elevation in the scale of human worth.He held at court a rank so high That other noblemen asked why.Because, 'twas answered, others lack His skill to scratch the royal back. --Aramis Jukes",RANK n Relative elevation scale human worth held court rank high noblemen asked twas answered others lack skill scratch royal back Aramis Jukes,RANK n Relative elevation scale human worth hold court rank high nobleman ask twas answer others lack skill scratch royal back Aramis Jukes,rank n relat elev scale human worth hold court rank high nobleman ask twas answer other lack skill scratch royal back arami juke
Ambrose Gwinett Bierce,"YOKE, n. An implement, madam, to whose Latin name, _jugum_, we owe one of the most illuminating words in our language --a word that defines the matrimonial situation with precision, point and poignancy. A thousand apologies for withholding it.",YOKE n implement madam whose Latin name _jugum_ owe one illuminating words language word defines matrimonial situation precision point poignancy thousand apologies withholding,YOKE n implement madam whose Latin name _jugum_ owe one illuminate word language word define matrimonial situation precision point poignancy thousand apology withhold,yoke n implement madam whose latin name _jugum_ owe one illumin word languag word defin matrimoni situat precis point poignanc thousand apolog withhold
Ambrose Gwinett Bierce,"OBSOLETE, adj. No longer used by the timid. Said chiefly of words. A word which some lexicographer has marked obsolete is ever thereafter an object of dread and loathing to the fool writer, but if it is a good word and has no exact modern equivalent equally good, it is good enough for the good writer. Indeed, a writer's attitude toward obsolete words is as true a measure of his literary ability as anything except the character of his work. A dictionary of obsolete and obsolescent words would not only be singularly rich in strong and sweet parts of speech; it would add large possessions to the vocabulary of every competent writer who might not happen to be a competent reader.",OBSOLETE adj longer used timid Said chiefly words word lexicographer marked obsolete ever thereafter object dread loathing fool writer good word exact modern equivalent equally good good enough good writer Indeed writer attitude toward obsolete words true measure literary ability anything except character work dictionary obsolete obsolescent words would singularly rich strong sweet parts speech would add large possessions vocabulary every competent writer might happen competent reader,OBSOLETE adj long use timid Said chiefly word word lexicographer mark obsolete ever thereafter object dread loathe fool writer good word exact modern equivalent equally good good enough good writer Indeed writer attitude toward obsolete word true measure literary ability anything except character work dictionary obsolete obsolescent word would singularly rich strong sweet part speech would add large possession vocabulary every competent writer might happen competent reader,obsolet adj long use timid said chiefli word word lexicograph mark obsolet ever thereaft object dread loath fool writer good word exact modern equival equal good good enough good writer inde writer attitud toward obsolet word true measur literari abil anyth except charact work dictionari obsolet obsolesc word would singular rich strong sweet part speech would add larg possess vocabulari everi compet writer might happen compet reader
Ambrose Gwinett Bierce,"MISS, n. The title with which we brand unmarried women to indicate that they are in the market. Miss, Missis (Mrs.) and Mister (Mr.) are the three most distinctly disagreeable words in the language, in sound and sense. Two are corruptions of Mistress, the other of Master. In the general abolition of social titles in this our country they miraculously escaped to plague us. If we must have them let us be consistent and give one to the unmarried man. I venture to suggest Mush, abbreviated to Mh.",MISS n title brand unmarried women indicate market Miss Missis Mrs Mister Mr three distinctly disagreeable words language sound sense Two corruptions Mistress Master general abolition social titles country miraculously escaped plague us must let us consistent give one unmarried man venture suggest Mush abbreviated Mh,MISS n title brand unmarried woman indicate market Miss Missis Mrs Mister Mr three distinctly disagreeable word language sound sense Two corruption Mistress Master general abolition social title country miraculously escape plague u must let u consistent give one unmarried man venture suggest Mush abbreviate Mh,miss n titl brand unmarri woman indic market miss missi mrs mister mr three distinct disagre word languag sound sens two corrupt mistress master general abolit social titl countri miracul escap plagu u must let u consist give one unmarri man ventur suggest mush abbrevi mh
Ambrose Gwinett Bierce,"Miss, n.: A title with which we brand unmarried women to indicate that they are in the market.",Miss n title brand unmarried women indicate market,Miss n title brand unmarried woman indicate market,miss n titl brand unmarri woman indic market
Ambrose Gwinett Bierce,"WEAKNESSES, n.pl. Certain primal powers of Tyrant Woman wherewith she holds dominion over the male of her species, binding him to the service of her will and paralyzing his rebellious energies.",WEAKNESSES n pl Certain primal powers Tyrant Woman wherewith holds dominion male species binding service paralyzing rebellious energies,WEAKNESSES n pl Certain primal power Tyrant Woman wherewith hold dominion male specie bind service paralyze rebellious energy,weak n pl certain primal power tyrant woman wherewith hold dominion male speci bind servic paralyz rebelli energi
Ambrose Gwinett Bierce,"QUEEN, n. A woman by whom the realm is ruled when there is a king, and through whom it is ruled when there is not.",QUEEN n woman realm ruled king ruled,QUEEN n woman realm rule king rule,queen n woman realm rule king rule
Ambrose Gwinett Bierce,Here's to woman!  Would that we could fall into her arms without falling into her hands,woman Would could fall arms without falling hands,woman Would could fall arm without fall hand,woman would could fall arm without fall hand
