"She is clothed in strength, and dignity, and she laughs without fear of the future.",Bible Bible
"The pain that you've been feeling, can't compare to the joy that's coming.",Bible Bible
"Be bold. Be brave. Be courageous.",Bible Bible
"There is a time for everything and a reason for every activity under the heavens.",Bible Bible
"Don't be afraid, for I am with you. Don't be discouraged, for I am your God. I will strengthen you and help you. I will hold you up with my victorious right hand.",Bible Bible
"He will cover you with His feathers, and under His wings, you will find refuge; His faithfulness will be your shield and rampart.",Bible Bible
"My soul finds rest in God alone, my salvation comes from Him, He alone is my rock and my salvation.",Bible Bible
"I can do everything through Christ who gives me strength.",Bible Bible
"I will not cause pain without allowing something new to be born, says the Lord.",Bible Bible
"When you go through deep waters, I will be with you.",Bible Bible
"Commit your way to the Lord. Trust in Him, and He will act.",Bible Bible
"For I know the plans I have for you, plans to prosper you and not harm you, plans to give you hope and a future.",Bible Bible
