"Age is an issue of mind over matter. If you don't mind, it doesn't matter.",Mark Twain
"My mother had a great deal of trouble with me, but I think she enjoyed it.",Mark Twain
"Courage is resistance to fear, mastery of fear, not absence of fear.",Mark Twain
"All you need in this life is ignorance and confidence, and then success is sure",Mark Twain
"Patriotism is supporting your country all the time, and your government when it deserves it".,Mark Twain
"The first of April is the day we remember what we are the other 364 days of the year.",Mark Twain
"Never put off till tomorrow what you can do the day after tomorrow.",Mark Twain
"In the Spring, I have counted 136 different kinds of weather inside of 24 hours.",Mark Twain
"Kindness is the language which the deaf can hear and the blind can see.",Mark Twain
"The secret of getting ahead is getting started.",Mark Twain
