quote,author,no_stopwords,lemmatized,stemmed
"Age is an issue of mind over matter. If you don't mind, it doesn't matter.",Mark Twain,Age issue mind matter mind matter,Age issue mind matter mind matter,age issu mind matter mind matter
"My mother had a great deal of trouble with me, but I think she enjoyed it.",Mark Twain,mother great deal trouble think enjoyed,mother great deal trouble think enjoy,mother great deal troubl think enjoy
"Courage is resistance to fear, mastery of fear, not absence of fear.",Mark Twain,Courage resistance fear mastery fear absence fear,Courage resistance fear mastery fear absence fear,courag resist fear masteri fear absenc fear
"All you need in this life is ignorance and confidence, and then success is sure",Mark Twain,need life ignorance confidence success sure,need life ignorance confidence success sure,need life ignor confid success sure
"Patriotism is supporting your country all the time, and your government when it deserves it.",Mark Twain,Patriotism supporting country time government deserves,Patriotism support country time government deserve,patriot support countri time govern deserv
The first of April is the day we remember what we are the other 364 days of the year.,Mark Twain,first April day remember 364 days year,first April day remember 364 day year,first april day rememb 364 day year
Never put off till tomorrow what you can do the day after tomorrow.,Mark Twain,Never put till tomorrow day tomorrow,Never put till tomorrow day tomorrow,never put till tomorrow day tomorrow
"In the Spring, I have counted 136 different kinds of weather inside of 24 hours.",Mark Twain,Spring counted 136 different kinds weather inside 24 hours,Spring count 136 different kind weather inside 24 hour,spring count 136 differ kind weather insid 24 hour
Kindness is the language which the deaf can hear and the blind can see.,Mark Twain,Kindness language deaf hear blind see,Kindness language deaf hear blind see,kind languag deaf hear blind see
The secret of getting ahead is getting started.,Mark Twain,secret getting ahead getting started,secret get ahead get start,secret get ahead get start
