author,quote
Alvar Aalto,Modern architecture does not mean the use of immature new materials; the main thing is to refine materials in a more human direction.
Alvar Aalto,"Building art is a synthesis of life in materialised form. We should try to bring in under the same hat not a splintered way of thinking, but all in harmony together."
Alvar Aalto,We should concentrate our work not only to a separated housing problem but housing involved in our daily work and all the other functions of the city.
Hank Aaron,I'm here to support the commissioner and tougher drug penalties.
Hank Aaron,That's going to be left up to the commissioner and the rules committee. They would probably have to go back and look at some of those things that happened.
Hank Aaron,That's going to be left up to the commissioner and the rules committee.
Hank Aaron,"I have always felt that although someone may defeat me, and I strike out in a ball game, the pitcher on the particular day was the best player. But I know when I see him again, I'm going to be ready for his curve ball. Failure is a part of success. There is no such thing as a bed of roses all your life. But failure will never stand in the way of success if you learn from it."
Hank Aaron,"I think it's very much a distraction to the ball club, and that is a cancer, you just get done playing the best team in baseball, the team has been playing very well, despite everything ... it's just a distraction, and it is a cancer,"
Hank Aaron,"Discover Greatness: An Illustrated History of Negro Leagues Baseball,"
Hank Aaron,"It took me seventeen years to get 3,000 hits in baseball. I did it in one afternoon on the golf course."
Hank Aaron,The pitcher has got only a ball. I've got a bat. So the percentage in weapons is in my favor and I let the fellow with the ball do the fretting.
Hank Aaron,I don't see pitches down the middle anymore - not even in batting practice.
Hank Aaron,"I looked for the same pitch my whole career, a breaking ball. All of the time. I never worried about the fastball. They couldn't throw it past me, none of them."
Hank Aaron,"I never smile when I have a bat in my hands. That's when you've got to be serious. When I get out on the field, nothing's a joke to me. I don't feel like I should walk around with a smile on my face."
Hank Aaron,Didn't come up here to read. Came up here to hit.
Hank Aaron,I don't feel right unless I have a sport to play or at least a way to work up a sweat.
Hank Aaron,Guessing what the pitcher is going to throw is eighty percent of being a successful hitter. The other twenty percent is just execution.
Hank Aaron,"I'm hoping someday that some kid, black or white, will hit more home runs than myself. Whoever it is, I'd be pulling for him."
Hank Aaron,"On the field, blacks have been able to be super giants. But, once our playing days are over, this is the end of it and we go back to the back of the bus again."
Hank Aaron,It took me seventeen years to get three thousand hits in baseball. I did it in one afternoon on the golf course.
Hank Aaron,"You can only milk a cow so long, then you're left holding the pail."
Hank Aaron,"I never doubted my ability, but when you hear all your life you're inferior, it makes you wonder if the other guys have something you've never seen before. If they do, I'm still looking for it."
Hank Aaron,"The triple is the most exciting play in baseball. Home runs win a lot of games, but I never understood why fans are so obsessed with them."
Hank Aaron,"My motto was always to keep swinging. Whether I was in a slump or feeling badly or having trouble off the field, the only thing to do was keep swinging."
Frank Abagnale,Why do the Yankees always win? The other team can't stop looking at the pinstripes.
Frank Abagnale,What I did in my youth is hundreds of times easier today. Technology breeds crime.
Frank Abagnale,"If my forgeries looked as bad as the CBS documents, it would have been 'Catch Me In Two Days'."
Frank Abagnale,The 2005 FBI Computer Crime Survey should serve as a wake-up call to every company in America.
Joseph Abate,"On net, we'll see some damage and a hit to corporate profits and proprietors' income, but that effect is temporary. But in the next quarter, we will get some mild stimulus from the rebuilding. Certainly, it will have no major, permanent effect on the economy."
Joseph Abate,The increase in capacity utilization is another sign of an economy approaching full employment of resources. This keeps the Fed on high alert for inflation.
Joseph Abate,Further improvement in earnings and additional declines in the unemployment rate is likely to boost overall confidence and keep consumption strong.
Mahmoud Abbas,We look with great worry on what might happen if (Sharon) is impaired.
Mahmoud Abbas,We are watching with great worry at what might happen if he is harmed.
Mahmoud Abbas,"realistic, if we work on it from now."
Mahmoud Abbas,We have to reach the moment when the vision of President Bush to have two states for the Israelis and the Palestinians is implemented.
Mahmoud Abbas,it is against our interests and it only increases the violence in this region.
Mahmoud Abbas,"We have agreed with Prime Minister Sharon to cease all violence against the Israelis and against the Palestinians, wherever they are,"
Mahmoud Abbas,"Unfortunately, the pressures have begun and the support and the aid started to decrease ... therefore, we are currently in a real financial crisis."
Mahmoud Abbas,"You either provide me support so that I can be loyal to this trust you have put in me, or you take it back,"
Mahmoud Abbas,"The most important message is our readiness, our full readiness to work for the internal security, ... We have deployed forces and we have taken a final decision on uniting the security apparatus, and we will continue applying this decision."
Mahmoud Abbas,"All the officers, soldiers and security personnel are asked not to abide by these decisions and to consider them null and void."
Mahmoud Abbas,"Today we are getting part of the payoff, of your sacrifice, by seeing the last settlers leaving Gaza. The credit for the evacuation is for you and for the martyrs who sacrificed themselves and gave their lives for the homeland."
Mahmoud Abbas,"Today we are getting part of the payoff of your sacrifice, by seeing the last settlers leaving Gaza. The credit for the evacuation is for you and for the martyrs who sacrificed themselves and gave their lives for the homeland."
Mahmoud Abbas,"Today we are getting part of the payoff, of your sacrifice, by seeing the last settlers leaving Gaza, ... The credit for the evacuation is for you and for the martyrs who sacrificed themselves and gave their lives for the homeland."
Mahmoud Abbas,This is a big responsibility that must be studied carefully.
Mahmoud Abbas,"If Mr. Sharon is facing internal problems, then I say he cannot solve one problem by creating another, ... It was the correct decision to withdraw from Gaza, and this is a good thing, and he now must continue with the peace process."
Mahmoud Abbas,"We are trying to lead our people to a just peace and to security, and we want to pave the way for the next generations."
