author,quote
Klaus Baader,"The acceleration of the past several months has been quite stunning, so it's not surprising to get a bit of a pause. After an unusually warm December, January was unusually cold and snowy. That may have affected production."
Klaus Baader,"The law has been liberalized, but there's still a law."
Klaus Baader,"Such a government would have a huge majority in the lower house and should face few difficulties getting the upper house on side, but such a government would be likely to be racked by divisions and would probably find making policy decisions difficult."
Klaus Baader,"The immediate driver is that investment activity is picking up. The global economy remains very robust, and after a long and dreadful period, there are hopes that German consumption will strengthen."
Klaus Baader,"The higher the job protection, the higher the obstacles to job creation."
Klaus Baader,"There's an acute public awareness that while there's been a lot of wage restraint, profits have grown."
Charles Babbage,"There is, however, another purpose to which academies contribute. When they consist of a limited number of persons, eminent for their knowledge, it becomes an object of ambition to be admitted on their list."
Charles Babbage,"Whenever the work is itself light, it becomes necessary, in order to economize time, to increase the velocity."
Charles Babbage,When a mass of matter is to be removed a certain force must be expended; and upon the proper economy of this force the price of transport will depend.
Charles Babbage,"To those who have chosen the profession of medicine, a knowledge of chemistry, and of some branches of natural history, and, indeed, of several other departments of science, affords useful assistance."
Charles Babbage,"Those from whose pocket the salary is drawn, and by whose appointment the officer was made, have always a right to discuss the merits of their officers, and their modes of exercising the duties they are paid to perform."
Charles Babbage,"There are few circumstances which so strongly distinguish the philosopher, as the calmness with which he can reply to criticisms he may think undeservedly severe."
Charles Babbage,"The public, who consume the new commodity or profit by the new invention, are much better judges of its merit than the government can be."
Charles Babbage,"The public character of every public servant is legitimate subject of discussion, and his fitness or unfitness for office may be fairly canvassed by any person."
Charles Babbage,"The proportion between the velocity with which men or animals move, and the weights they carry, is a matter of considerable importance, particularly in military affairs."
Charles Babbage,"The possessors of wealth can scarcely be indifferent to processes which, nearly or remotely have been the fertile source of their possessions."
Charles Babbage,"The half minute which we daily devote to the winding-up of our watches is an exertion of labour almost insensible; yet, by the aid of a few wheels, its effect is spread over the whole twenty-four hours."
Charles Babbage,The force of vapour is another fertile source of moving power; but even in this case it cannot be maintained that power is created.
Charles Babbage,"The fatigue produced on the muscles of the human frame does not altogether depend on the actual force employed in each effort, but partly on the frequency with which it is exerted."
Charles Babbage,The economy of human time is the next advantage of machinery in manufactures.
Charles Babbage,"The difference between a tool and a machine is not capable of very precise distinction; nor is it necessary, in a popular explanation of those terms, to limit very strictly their acceptation."
Charles Babbage,"The accumulation of skill and science which has been directed to diminish the difficulty of producing manufactured goods, has not been beneficial to that country alone in which it is concentrated; distant kingdoms have participated in its advantages."
Charles Babbage,"That the state of knowledge in any country will exert a directive influence on the general system of instruction adopted in it, is a principle too obvious to require investigation."
Charles Babbage,"That science has long been neglected and declining in England, is not an opinion originating with me, but is shared by many, and has been expressed by higher authority than mine."
Charles Babbage,Telegraphs are machines for conveying information over extensive lines with great rapidity.
Charles Babbage,"Surely, if knowledge is valuable, it can never be good policy in a country far wealthier than Tuscany, to allow a genius like Mr. Dalton's, to be employed in the drudgery of elementary instruction."
Charles Babbage,"Some kinds of nails, such as those used for defending the soles of coarse shoes, called hobnails, require a particular form of the head, which is made by the stroke of a die."
Charles Babbage,"Perhaps it would be better for science, that all criticism should be avowed."
Charles Babbage,"On two occasions I have been asked, 'Pray, Mr. Babbage, if you put into the machine wrong figures, will the right answers come out?' I am not able rightly to apprehend the kind of confusion of ideas that could provoke such a question."
Charles Babbage,"It will be readily admitted, that a degree conferred by an university, ought to be a pledge to the public that he who holds it possesses a certain quantity of knowledge."
Charles Babbage,"It is therefore not unreasonable to suppose that some portion of the neglect of science in England, may be attributed to the system of education we pursue."
Charles Babbage,"In turning from the smaller instruments in frequent use to the larger and more important machines, the economy arising from the increase of velocity becomes more striking."
Charles Babbage,"In mathematics we have long since drawn the rein, and given over a hopeless race."
Charles Babbage,"In England, the profession of the law is that which seems to hold out the strongest attraction to talent, from the circumstance, that in it ability, coupled with exertion, even though unaided by patronage, cannot fail of obtaining reward."
Charles Babbage,"If we look at the fact, we shall find that the great inventions of the age are not, with us at least, always produced in universities."
Charles Babbage,I am inclined to attach some importance to the new system of manufacturing; and venture to throw it out with the hope of its receiving a full discussion among those who are most interestedin the subject.
Charles Babbage,Errors using inadequate data are much less than those using no data at all.
Charles Babbage,"At each increase of knowledge, as well as on the contrivance of every new tool, human labour becomes abridged."
Charles Babbage,Another mode of accumulating power arises from lifting a weight and then allowing it to fall.
Charles Babbage,"Another contrivance for regulating the effect of machinery consists in a vane or fly, of little weight, but presenting a large surface."
Charles Babbage,"A tool is usually more simple than a machine; it is generally used with the hand, whilst a machine is frequently moved by animal or steam power."
Charles Babbage,"A powerful attraction exists, therefore, to the promotion of a study and of duties of all others engrossing the time most completely, and which is less benefited than most others by any acquaintance with science."
Mike Babcock,"He's a huge talent, and so far I've been very impressed with him. After spending 13 years in Detroit, it's going to take him awhile to get used to what we do, and for us to get used to what he does. We're not trying to change him, but we want him to play within the scheme we play. He's very explosive, very talented and seems very conscientious. He's more in the monitoring stage of observing what we're doing, but once he catches on a little more, then he'll be at the front."
Mike Babcock,We watched in on the replay a bunch of times. It doesn't look like that big a deal. ... I'll sleep easy tonight and we'll have a report tomorrow. He'll be fine.
Mike Babcock,I thought the goalie was really good early when the rest of us weren't.
Mike Babcock,"We just did a good job on the specialty teams. They (the Blue Jackets) played with a lot of passion and urgency. (But) what do you do when your (the Blue Jackets') power play isn't putting them in, and the other team is?"
Mike Babcock,"We made some mistakes,"
Mike Babcock,He's got a little magic going right now.
Mike Babcock,"He's got a little magic going on right now. But he goes to the net hard and he competes hard, and that's what he does. He just drives the net every time. We know, and he knows, he doesn't want the puck until he gets to the paint."
Mike Babcock,"Just like everyone here, I'm shocked at our situation. It's hard to look at our team and think we didn't do a lot of good things to prepare for the playoffs and you would expect to have success."
Mike Babcock,"That's quite a statement. I just think when you make general statements when you don't know, you're probably not doing yourself any favors."
Mike Babcock,"We need to reestablish our work ethic and get back the fire we need to win games. As far as I'm concerned, the playoff race starts Oct. 8 in Dallas. You can't make the playoffs in the first 20 games, but you can be out of it after 20 games. So for me, it's all about establishing that work ethic again in a hurry. I just keep telling the guys that, too -- so much that they think the record is stuck."
Mike Babcock,We can do a better job with our discipline.
