author,quote
Meg Cabot,"Write the kind of story you would like to read. People will give you all sorts of advice about writing, but if you are not writing something you like, no one else will like it either."
Meg Cabot,"There's nothing secret about it. Everyone knows that I am waiting for my real parents, the king and queen, to come restore me to my rightful throne."
Meg Cabot,Save your rejections so that later when you are famous you can show them to people and laugh.
Meg Cabot,"No matter how nice the company one might be with, however, it is never pleasant to have a rifle pointed at one's back."
Meg Cabot,"I was too lazy to start a whole new story, so I just stuck a princess into the story I was working on... and The Princess Diaries was born!"
Meg Cabot,"My favorite book of all time is Cold Comfort Farm, by Stella Gibbons."
Meg Cabot,My readers are just that age where they are all into what's new.
Meg Cabot,Courage is not the absence of fear but the judgment that something else is more important than fear. The brave may not live forever but the cautious do not live at all. For now you are traveling the road between who you think you are and who you can be.
Miguel Cabrera,"He almost got it, but I got it over him,"
Miguel Cabrera,You're going to remember all your life this time.
Miguel Cabrera,I've played hurt. But this is the knee. I can't (move it around).
Miguel Cabrera,"He hit a ground ball, I jumped. I said, 'Throw it to home plate, make one out.' I think I had a chance, but it was a bad throw."
Miguel Cabrera,"They had 22 in one game. They can hit, you know?"
Miguel Cabrera,"There are always things they say, things that are out of your control. You have to be clear that this is a business and you don't know what can happen in any moment."
Miguel Cabrera,"I was going to home plate to make the one out. I thought it was the right choice, but it was a bad throw."
Eileen Caddy,"Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way."
Eileen Caddy,"Seek always for the answer within. Be not influenced by those around you, by their thoughts or their words"
Eileen Caddy,Cease trying to work everything out with your minds. It will get you nowhere. Live by intuition and inspiration and let your whole life be Revelation.
Eileen Caddy,Let there be more joy and laughter in your living.
Eileen Caddy,What is right for one soul may not be right for another. It may mean having to stand on your own and do something strange in the eyes of others.
Eileen Caddy,A soul without a high aim is like a ship without a rudder.
Eileen Caddy,Gratitude helps you to grow and expand; gratitude brings joy and laughter into your life and into the lives of all those around you.
Eileen Caddy,"The secret of making something work in your lives is, first of all, the deep desire to make it work: then the faith and belief that it can work: then to hold that clear definite vision in your consciousness and see it working out step by step, without one thought of doubt or disbelief."
Eileen Caddy,"Dwell not on the past. Use it to illustrate a point, then leave it behind. Nothing really matters except what you do now in this instant of time. From this moment onwards you can be an entirely different person, filled with love and understanding, ready with an outstretched hand, uplifted and positive in every thought and deed."
Julius Caesar,how to avoid getting stabbed in the back at work.
Julius Caesar,Men freely believe that which they desire.
Julius Caesar,Caesar's wife must be above suspicion.
Julius Caesar,No one is so brave that he is not disturbed by something unexpected.
Julius Caesar,I had rather be first in a village than second at Rome.
Julius Caesar,The die is cast.
Julius Caesar,Cowards die many times before their actual deaths.
Julius Caesar,It is better to create than to learn! Creating is the essence of life.
Julius Caesar,I have lived long enough both in years and in accomplishments.
Julius Caesar,"It is not these well-fed long-haired men that I fear, but the pale and the hungry-looking."
Julius Caesar,"As a rule, men worry more about what they can't see than about what they can."
