author,quote
Alfonse D'Amato,"I will bring to closure this sad episode and put us on the road to healing and the future,"
Alfonse D'Amato,"I used a common New York expression that means you're foolish,"
Alfonse D'Amato,"I think I am the best and I have the energy and I love it and love it because I make a difference,"
Alfonse D'Amato,"I hope that this agreement allows all of us to begin to look to the future and turn to the business of healing the wounds of the past, both here and in Switzerland,"
Anthony D'Angelo,The people who oppose your ideas are inevitably those who represent the established order that your ideas will upset.
Anthony D'Angelo,"Become a fixer, not just a fixture."
Anthony D'Angelo,You must first get along with yourself before you can get along with others.
Anthony D'Angelo,Build your reputation by helping other people build theirs.
Anthony D'Angelo,"Wherever you go, no matter what the weather, always bring your own sunshine."
Anthony D'Angelo,"Develop a passion for learning.  If you do, you will never cease to grow."
Anthony D'Angelo,You don't have to hold a position in order to be a leader.
Anthony D'Angelo,"Smile, it is the key that fits the lock of everybody's heart."
Anthony D'Angelo,Focus 90% of your time on solutions and only 10% of your time on problems.
Anthony D'Angelo,Promise yourself to live your life as a revolution and not just a process of evolution.
Anthony J. D'Angelo,"In order to succeed you must fail, so that you know what not to do the next time."
Anthony J. D'Angelo,"The rules have changed. True power is held by the person who possesses the largest bookshelf, not gun cabinet or wallet."
Anthony J. D'Angelo,"Wherever you go, no matter what the weather, always bring your own sunshine."
Anthony J. D'Angelo,The only real failure in life is one not learned from.
Anthony J. D'Angelo,"Develop a passion for learning. If you do, you will never cease to grow."
Anthony J. D'Angelo,"Treasure your relationships, not your possessions."
Mike D'Antoni,That is what happens when you have talent. We are young and they (the players) came together more then anyone expected.
Mike D'Antoni,He's going to give us some fire. He might make some mistakes but he's going to play hard. You know that. That's his M.O.
Mike D'Antoni,"For whatever reason, we had no energy and (Sacramento) came out and played great. If you put that combination together, this is what happens."
Mike D'Antoni,"This team is great at distributing the basketball, and we did a great job of finding people. When the ball moves like that and everybody gets involved, it makes it really easy, and when we can hit 14 three-pointers, we'll hurt a lot of people."
Mark Dacey,I think we are gaining support as the teams drop off the radar.
Mark Dacey,You do get a rush because the crowd's loud and you just made a great shot to win the game. It's an electrifying feeling.
Mark Dacey,They're going to want revenge and it's not so much revenge because we're all fighting for the same trophy and that's what it's all about.
Puff Daddy,"When I decided I wanted to be an actor, I said I wanted to work with quality actors and directors."
Puff Daddy,"We used to talk about wanting to get some money, but that's when hip-hop was based on your dreams and your fantasy. The whole thing now is the dreams and fantasies were achieved, and you don't want to make it the focal point. You can't keep beating that dead horse."
Puff Daddy,This whole Puff Daddy thing has taken a toll on me.
Puff Daddy,"This is my 10-year anniversary producing, making music and... you're not what you were 10 years ago. It's just a natural evolution and having wisdom."
Puff Daddy,"There's a huge AIDS epidemic in Africa, and one of Bad Boy's plans this year is to give more awareness to that. We're gonna be doing a big charity concert helping to save some of the brothers and sisters in Africa."
Puff Daddy,"The only thing I'll say about Jennifer is she's somebody I'll always love, and that I'll always love her and we'll always be friends."
Puff Daddy,"It just gets draining on a person being in the papers every day. So I was like, I'm gonna come back here. I want to talk to all the people, the fans. I want to let them know how much I appreciate all their support."
Puff Daddy,"It is going to be changed to straight P. Diddy. You could call me P. or Diddy, or P. Diddy. I just want something fresh, man."
Puff Daddy,It feels like I could go outside with a bikini thong on right now.
Puff Daddy,"If you dream and you believe, you can do it."
Puff Daddy,"I've never really taken more than four days off, so it was a lot for me to go away for three-and-a-half months. I went all over Europe. I walked on a whole bunch of beaches and I did a lot of thinking."
Puff Daddy,"I've got to take a break, to be honest. I'm not even going to lie."
Puff Daddy,"I'm in the studio 24 hours a day. It's true that once you get a certain level of success, you become a target. Talk magazine should be ashamed of themselves."
Puff Daddy,"I'm hyperactive, and I went in the studio and I would just start making records, for no reason."
Puff Daddy,"I'm glad the truth is out. I'm glad everyone knows I'm innocent, not guilty."
Puff Daddy,I wouldn't abandon nobody. I would be lying if I said I was just talking to everybody.
Puff Daddy,I think that's good that I have to watch how I act and what I say. I think that's a part of growing up.
Puff Daddy,"I just want to put positive energy out there. I'm not saying a curse word is putting out negative energy, but it depends what mood you're in."
Puff Daddy,I have so much respect for people in the theater. You can't do 10 or 15 takes. It's all live. It's like life in motion.
Puff Daddy,I have had fans make me the big picture collages of the photo books; I have had fans send me birthday cakes... sing to me on my voicemail. I have had fans flash me. I have had older fans give me their bras and underwear onstage.
Puff Daddy,"I got a chance to have my dream come true, and I wanted to make sure I made the decision as to when I dropped my last album. If I don't feel like this album is an incredible piece of work, then I'm cool with the albums I've done. I don't have to put out another album."
Puff Daddy,"Fans made me. The fans gave me a chance, and they made me. Beyond that, my career has been trials and tribulations and ups and downs, so I have to have true fans riding with me."
Puff Daddy,Everybody's just been spilling their guts all over records and talking about how hard it is to be an entertainer and how much we get hated on and what we have to go through. But I ain't really got it that bad. I'm just happy to be here.
Puff Daddy,"Don't get yourself in certain circumstances or instances, because it's not a good feeling to be sitting in that chair where you've got 12 people that are in control of your life. You have an opportunity to be in control of your life for yourself by the decisions that you make."
Puff Daddy,"If you're looking for a deep album or you're looking for me to talk about past situations, it's not even about that. It's just 14 hot records that are gonna make you dance."
Puff Daddy,Bad Boy Entertainment did not shoot anybody. I didn't shoot anybody.
Puff Daddy,"Man, I just feel blessed... I was in a situation where the only way I could come out of it was by putting my faith in God. No matter how good my lawyers were, no matter how much celebrity I had, everything was just stacked up against me."
Trick Daddy,Rappers tend to use words sometimes that just rhyme and don't really mean nothing.
Trick Daddy,"If my mama and daddy would've stayed together, one of them would've been dead, and the other would have been locked up for it."
Trick Daddy,I'll probably have a lot of rap cats come on up.
Trick Daddy,I'll cook you two dishes and then you lay around for next time up.
Trick Daddy,I tell it like it is. I tell it like I see it. I tell it like I envision it. I tell it like I live it.
Gerard Daffy,I'm not sure about the quality of the opposition but you had to tighten them up in the markets on the back of that performance.
Gerard Daffy,It is a bit of a danger series. South Africa have shown in the past they are competitive.
Gerard Daffy,Simone looks set for the Dancing with the Stars equivalent of a golden duck.
Roald Dahl,"And above all, watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it."
Roald Dahl,"When I was 2, we moved into an imposing country mansion 8 miles west of Cardiff, Wales."
Roald Dahl,The writer has to force himself to work. He has to make his own hours and if he doesn't go to his desk at all there is nobody to scold him.
Roald Dahl,"Pear Drops were exciting because they had a dangerous taste. All of us were warned against eating them, and the result was that we ate them more than ever."
Roald Dahl,"Unless you have been to boarding-school when you are very young, it is absolutely impossible to appreciate the delights of living at home."
Roald Dahl,Two hours of writing fiction leaves this writer completely drained. For those two hours he has been in a different place with totally different people.
Roald Dahl,"To shipbrokers, coal was black gold."
Roald Dahl,"Though my father was Norwegian, he always wrote his diaries in perfect English."
Roald Dahl,The writer walks out of his workroom in a daze. He wants a drink. He needs it.
Roald Dahl,"Nowadays you can go anywhere in the world in a few hours, and nothing is fabulous any more."
Roald Dahl,"I was a fighter pilot, flying Hurricanes all round the Mediterranean. I flew in the Western Desert of Libya, in Greece, in Syria, in Iraq and in Egypt."
Roald Dahl,"I do have a blurred memory of sitting on the stairs and trying over and over again to tie one of my shoelaces, but that is all that comes back to me of school itself."
Roald Dahl,I devised a stunt for getting myself sent back home. My idea was that I should all of a sudden develop an attack of acute appendicitis.
Roald Dahl,"I began to realize how simple life could be if one had a regular routine to follow with fixed hours, a fixed salary, and very little original thinking to do."
Roald Dahl,"Homesickness is a bit like seasickness. You don't know how awful it is unti you get it, and when you do, it hits you right in the top of the stomach and you want to die."
Roald Dahl,"Did they preach one thing and practice another, these men of God?"
Roald Dahl,An autobiography is a book a person writes about his own life and it is usually full of all sorts of boring details.
Roald Dahl,"All through my school life I was appalled by the fact that masters and senior boys were allowed quite literally to wound other boys, and sometimes very severely."
Roald Dahl,All Norwegian children learn to swim when they are very young because if you can't swim it is difficult to find a place to bathe.
Roald Dahl,A writer of fiction lives in fear. Each new day demands new ideas and he can never be sure whether he is going to come up with them or not.
Roald Dahl,A person is a fool to become a writer. His only compensation is absolute freedom.
Roald Dahl,A little nonsense now and then is relished by the wisest men.
Roald Dahl,"The Bristol Channel was always my guide, and I was always able to draw an imaginary line from my bed to our house over in Wales. It was a great comfort."
Roald Dahl,"Prayers were held in Assembly Hall. We all perched in rows on wooden benches while teachers sat up on the platform in armchairs, facing us."
Roald Dahl,Pain was something we were expected to endure. But I doubt very much if you would be entirely happy today if a doctor threw a towel in your face and jumped on you with a knife.
Roald Dahl,Nobody gets a nervous breakdown or a heart attack from selling kerosene to gentle country folk from the back of a tanker in Somerset.
Roald Dahl,"My father was a Norwegian who came from a small town near Oslo. He broke his arm at the elbow when he was 14, and they amputated it."
Roald Dahl,"I shot down some German planes and I got shot down myself, crashing in a burst of flames and crawling out, getting rescued by brave soldiers."
Roald Dahl,"I began to realise that the large chocolate companies actually did possess inventing rooms, and they took their inventing very seriously."
Roald Dahl,"I am only 8 years old, I told myself. No little boy of 8 has ever murdered anyone. It's not possible."
Roald Dahl,When I walked to school in the mornings I would start out alone but would pick up four other boys along the way. We would set out together after school across the village green.
Robert A. Dahl,"Democracy, it appears, is a bit chancy. But its chances also depend on what we do ourselves."
Robert A. Dahl,The future of that ancient chamber remains in considerable doubt.
Robert A. Dahl,Most of us readily take things for granted that at an earlier time remained to be discovered.
Robert A. Dahl,Require... electoral votes to be allocated in proportion to the popular votes.
Robert A. Dahl,"Glorious as it had been, the city-state was obsolete."
Robert A. Dahl,"As in Athens, the right to participate was restricted to men, just as it was also in all later democracies and republics until the twentieth century."
Edward Dahlberg,"We are always talking about being together, and yet whatever we invent destroys the family, and makes us wild, touchless beasts feeding on technicolor prairies and rivers."
Edward Dahlberg,"We are a most solitary people, and we live, repelled by one another, in the gray, outcast cities of Cain."
Edward Dahlberg,"What has a writer to be bombastic about? Whatever good a man may write is the consequence of accident, luck, or surprise, and nobody is more surprised than an honest writer when he makes a good phrase or says something truthful."
Edward Dahlberg,"Intellectual sodomy, which comes from the refusal to be simple about plain matters, is as gross and abundant today as sexual perversion and they are nowise different from one another."
Edward Dahlberg,"One of the weaknesses in the cooperative is that it has never been sufficiently leavened by the imagination. This is a quick-silver faculty, and likely to be a cause of worry to any collective settlement."
Edward Dahlberg,"Though man is the only beast that can write, he has small reason to be proud of it. When he utters something that is wise it is nothing that the river horse does not know, and most of his creations are the result of accident."
Edward Dahlberg,"Those who write for lucre or fame are grosser than the cartel robbers, for they steal the genius of the people, which is its will to resist evil."
Edward Dahlberg,"Recognize the cunning man not by the corpses he pays homage to but by the living writers he conspires against with the most shameful weapon, Silence, or the briefest review."
Edward Dahlberg,"Hardly a book of human worth, be it heaven's own secret, is honestly placed before the reader; it is either shunned, given a Periclean funeral oration in a hundred and fifty words, or interred in the potter's field of the newspapers back pages."
Edward Dahlberg,"It is very perplexing how an intrepid frontier people, who fought a wilderness, floods, tornadoes, and the Rockies, cower before criticism, which is regarded as a malignant tumor in the imagination."
Edward Dahlberg,"I would rather take hellebore than spend a conversation with a good, little man."
Edward Dahlberg,"Genius, like truth, has a shabby and neglected mien."
Edward Dahlberg,Nothing in our times has become so unattractive as virtue.
Edward Dahlberg,"Ambition is a Dead Sea fruit, and the greatest peril to the soul is that one is likely to get precisely what he is seeking."
Edward Dahlberg,A strong foe is better than a weak friend.
Edward Dahlberg,"Always like to look on the optimistic side of life, but I am realistic enough to know that life is a complex matter. Walt Disney Every decision you make is a mistake."
Edward Dahlberg,The bad poet is a toady mimicking nature.
Edward Dahlberg,The ancients understood the regulation of power better than the regulation of liberty.
Edward Dahlberg,"The machine has had a pernicious effect upon virtue, pity, and love, and young men used to machines which induce inertia, and fear, are near impotent."
Edward Dahlberg,"We cannot live, suffer or die for somebody else, for suffering is too precious to be shared."
Edward Dahlberg,"So much of our lives is given over to the consideration of our imperfections that there is no time to improve our imaginary virtues. The truth is we only perfect our vices, and man is a worse creature when he dies than he was when he was born."
Edward Dahlberg,"Writing is conscience, scruple, and the farming of our ancestors."
Edward Dahlberg,"Men are mad most of their lives; few live sane, fewer die so. The acts of people are baffling unless we realize that their wits are disordered. Man is driven to justice by his lunacy."
