author,quote
Rodney Eade,He's probably a 20 year old really as far as his development.
Rodney Eade,"I haven't had a chance to talk to the match committee or the board at this stage, but I would imagine Brad would take the captaincy."
Rodney Eade,He'll probably miss this week's practice match and then he'll be fine.
Rodney Eade,"People are saying we're playing very well at the moment but there are going to be up and down periods, it's not going to be plain sailing the whole time."
Rodney Eade,"People are saying we are going to benefit from the new rules the most, but Lindsay mightn't be close enough to take advantage of the quick kick-in. We might lose an advantage there."
Rodney Eade,"He's pain-free so we're fairly confident that he'll certainly be right by the first round, but hopefully be able to get one or two practice matches in."
Rodney Eade,We see him hopefully as a 200-game player for the Bulldogs and a future leader for us as well.
Rodney Eade,"I'm not to sure about the figure, but there's no doubt when you look at the premier who gets $250,000 and the night premier gets about $220,000 which is about the same - (it) seems like a bit of an inequity."
Rodney Eade,People are dancing at shadows. I can't believe people are worried so much about kick-ins.
Lawrence Eagles,"There is clearly a risk that this is going to happen, however small that risk may be,"
Lawrence Eagles,It has to be put into perspective. We have strategic stocks which can obviously be used very quickly indeed if necessary.
Lawrence Eagles,"There were a few signs overnight that, although clearly tensions are rising, there is a window of opportunity for some peace settlement over the next three days."
Lawrence Eagles,"As we go forward, geopolitical issues won't go away over night, but we wouldn't have got to oil at $60 plus without a lot of other factors."
Lawrence Eagles,Demand is still strong within China but growth was exceptionally strong last year. That year-on-year growth is narrower is not a surprise.
Lawrence Eagles,"Recently a former aid, giving evidence against him, said he was running short of funds. Therefore, if he was the instigator of the attacks on the US, another sponsor was likely to be involved."
Lawrence Eagles,The U.S. will respond to this attack in some fashion and there remains a small fear that it may lose some Middle Eastern support as a result.
Lawrence Eagles,"While gasoline was clearly the main driving force behind the market on Friday, there is little doubt that the Middle East tension also provides some upside momentum for crude."
Lawrence Eagles,"Under normal circumstances, it would be far too soon for OPEC to consider raising production, but these are exceptional circumstances,"
Lawrence Eagles,"Indeed, even if OPEC is not bothered about helping America per say, economic considerations make a lower price as sensible option."
Lawrence Eagles,"Indeed, even if OPEC is not bothered about helping America per say, economic considerations make a lower price as sensible option,"
Lawrence Eagles,"[Describing the Saudi action as a] totally shocking move ... The Saudis are stamping their authority on the world oil market, but at the expense of relations within the cartel and the Middle East."
Terry Eagleton,"Literature transforms and intensifies ordinary language, deviates systematically from everyday speech. If you approach me at a bus stop and murmur ''Thou still unravished bride of quietness,'' then I am instantly aware that I am in the presence of the literary."
Terry Eagleton,Deconstruction insists not that truth is illusory but that it is institutional.
Terry Eagleton,Postmodernism is among other things a sick joke at the expense of revolutionary avant-gardism.
Terry Eagleton,"Readers are less and less seen as mere non-writers, the subhuman ''other'' or flawed derivative of the author; the lack of a pen is no longer a shameful mark of secondary status but a positively enabling space, just as within every writer can be seen to lurk, as a repressed but contaminating antithesis, a reader."
Charles Eames,"We work because it's a chain reaction, each subject leads to the next."
Charles Eames,The real questions are: Does it solve a problem? Is it serviceable? How is it going to look in ten years?
Charles Eames,It makes me feel guilty that anybody should have such a good time doing what they are supposed to do.
Charles Eames,"It is not easy to do something good, but it is extremely difficult to do something bad."
Charles Eames,It is almost impossible to reconcile self expression with the creative act.
Charles Eames,In architecture the idea degenerated. Design allows a more direct and pleasurable route.
Charles Eames,Ideas are cheap. Always be passionate about ideas and communicating those ideas and discoveries to others in the things you make.
Charles Eames,"Eventually everything connects - people, ideas, objects. The quality of the connections is the key to quality per se."
Charles Eames,"Choose your corner, pick away at it carefully, intensely and to the best of your ability and that way you might change the world."
Charles Eames,"Art resides in the quality of doing, process is not magic."
Charles Eames,"The details are details. They make the product. The connections, the connections, the connections. It will in the end be these details that give the product its life."
Charles Eames,The details are not the details. They make the design.
Charles Eames,Design is a plan for arranging elements in such a way as best to accomplish a particular purpose.
Charles Eames,Who ever said that pleasure wasn't functional?
Charles Eames,"To whom does design address itself: to the greatest number, to the specialist of an enlightened matter, to a privileged social class? Design addresses itself to the need."
Charles Eames,Recognizing the need is the primary condition for design.
Steve Earle,"If they're as committed to mine safety as they say they are, then they need to incorporate these things into their bill. These are things that shouldn't be argued over."
Steve Earle,The Revolution Starts Now
Steve Earle,It was kind of crazy luck that it was me with the device and two nurses that were three of the first four on the scene.
Steve Earle,"The play's about forgiveness,"
Steve Earle,"Sonnets are guys writing in English, imitating an Italian song form. It was a form definitely sung as often as it was recited."
Steve Earle,"Me, I'm spiritually retarded, I need to be knee deep in water with a fly rod in my hands, that's about as close to God as I get."
Steve Earle,"If there is such a thing as a workaholic, I'm it, and that's what passes for leisure."
Steve Earle,"If I can get Me out of the way, I can do anything."
Steve Earle,I think the criticism that I take to heart is from other writers that I respect.
Steve Earle,I don't usually read reviews.
Steve Earle,I don't really think in terms of obstacles. My biggest obstacle is always myself.
Steve Earle,"Actually, in its purest form, Islam is incredibly tolerant. That makes what's going on in the world really bizarre."
Steve Earle,"Before, I recorded in specific blocks of time. That's changed. Now everything revolves around making music for me. And it feels good."
Steve Earle,You see things differently at 40 than you do at 31. Especially if you got to 40 the way I did.
Steve Earle,Townes van Zandt is the best songwriter in the whole world and I'll stand on Bob Dylan's coffee table in my cowboy boots and say that.
Dale Earnhardt,He and I had a really great working relationship. He knew what he wanted and he knew what we had accomplished. He wanted to be with us and we wanted him to be there.
Dale Earnhardt,"You've got to be closer to the edge than ever to win. That means sometimes you go over the edge, and I don't mean driving, either."
Dale Earnhardt,"With 20 top-10 finishes, I feel we're on the right path."
Dale Earnhardt,"When he was young, I told Dale Jr. that hunting and racing are a lot alike. Holding that steering wheel and holding that rifle both mean you better be responsible."
Dale Earnhardt,Two of my favorite things are my steering wheel and my Remington rifle.
Dale Earnhardt,"To come in and win three races already this year and maybe set a record by winning four is pretty unique. But guys like Mark Martin, Rusty Wallace and these guys are not wanting that to happen."
Dale Earnhardt,"The thing about it is, all those races we lost, we won this race together. We won it as a team."
Dale Earnhardt,The atmosphere seems to change once the sun goes down and the race fans get to watch a good show.
Dale Earnhardt,"That's what we're striving for, making us a contender in every race."
Dale Earnhardt,That strategy of racing for the top five and racing for the win is where everybody wants to be.
Dale Earnhardt,Richard Childress and myself have made some important innovations on our cars.
Dale Earnhardt,People are going to get older and young guys are going to come in and race and get more competitive.
Dale Earnhardt,Maybe now that we have the same sponsor in Remington we can spend some time together outdoors.
Dale Earnhardt,"It's just really hard to work and get better, building and planning for the future with the new Monte Carlo and keeping the race team intact and keeping them healthy."
Dale Earnhardt,If we're going to run for points we need to run in the top-five every week.
Dale Earnhardt,"If I was 30th in points and not making races and not being competitive in races, I could understand them saying I'm over-the-hill or I'm ready to quit or whatever."
Dale Earnhardt,I've never won the Daytona 500 before.
Dale Earnhardt,I've had confidence in myself all along. It was just a matter of getting the pieces back in place.
Dale Earnhardt,I've got to win every race.
Dale Earnhardt,I'm racing for the wins and racing up front and finishing in the top 10. It's puzzling to me how you can judge a driver on that.
Dale Earnhardt,"I woke up this morning, and I still don't believe I won the Daytona 500."
Dale Earnhardt,I want to be up front racing.
Dale Earnhardt,I started 20 years without missing a race and ESPN started broadcasting on the air waves.
Dale Earnhardt,"I see it on pit road when we make better pit stops and that comes from harder work back at the shop, practicing, testing, trying to get better."
Dale Earnhardt,I enjoy Saturday night racing.
Dale Earnhardt,I don't want to argue with my wife about her car - or my driving.
Dale Earnhardt,"Finishing races is important, but racing is more important."
Dale Earnhardt,"But I'm good to go through my contract with Childress, and my determination is to win races and try to win that other championship."
Dale Earnhardt,"As a GM Goodwrench Service Plus dealer, I understand how good service makes a difference to our customers."
Dale Earnhardt,Second Place is just the first place loser.
Dale Earnhardt,You can't let one bad moment spoil a bunch of good ones.
Dale Earnhardt,"You win some, lose some, and wreck some."
Dale Earnhardt,It's a never ending battle of making your cars better and also trying to be better yourself.
Norm Eash,"A lot of those kids have been playing for two years. It's not going to be a senior-dominated squad, but we have that experience."
Norm Eash,"We're a little thin right now. Losing Adam Bohr really hurt us offensively against Simpson. Marcus' injury is more of a nagging, pain-tolerance type of injury. As a coach you have to make a decision as to when he becomes ineffective. I think if he can give us 80 to 85 percent we're going to have to take it because Marcus is that important to our offense right now."
Norm Eash,I think we can run and get to the football. Last year five of the seven games we lost we were ahead. The defense has to stop people and keep teams out of the end zone.
Norm Eash,"People are going to feel better about the defeat just from what we were able to do at the end. That showed people we can move the football when we need to. We have to build upon that and stay positive, stay focused and stay together."
Norm Eash,"Anytime you lose you're disappointed, but I'm really proud of the way we played. It showed a lot of character about our football team. We just have to get better and improve this week."
Gregg Easterbrook,"You know, some of the good part of blog theory was that blogs would be like diaries that the world could read. They would be spontaneous, whatever pops into your mind, as a diary would be."
Gregg Easterbrook,"The publication date of that book was Sept. 10, 2001. That's why nobody's ever heard of it. Maybe I'll do another one in the future someday."
Gregg Easterbrook,Playing football is obviously very strenuous. It's exhausting. You have to try very hard in football. But there's no heroic risk involved.
Gregg Easterbrook,"Now, for pure bloggers, for individual people who are just posting their own thoughts, they would still run the same risk of saying something wrong or embarrassing, but they wouldn't harm their institutions by doing so."
Gregg Easterbrook,"Neither Aristotle nor the Framers were known for self-indulgence. All believed that happiness is a legitimate goal in life; perhaps, one of the reasons we are here."
