author,quote
Marc Faber,"Geopolitical tensions are on the rise and could at some point in the future have a very negative impact on the global economy and financial markets,"
Marc Faber,"Twenty years ago, ... [a family] spent its income on housing, clothing, food appliances, cars, a radio and a TV. Today, it will spend additional money on a DVD player, computers, fax machines, printers, several cellular phones and a whole host of other new electronic gadgets...modern society requires people to continuously enlarge the 'basket of goods' that are considered necessary to lead a 'good life.'"
Marc Faber,Over the last six to nine months the economy has performed again much better.
Marc Faber,"It's a step in the right direction, although not a big step, ... helps stabilize the currency for a while, but it's addressing the symptoms why the currency's weak, not the causes why the currency's weak."
Mark Fabiani,Cheney is a card-carrying member of the old guard. Some of his past votes are hard to explain away in any era.
Mark Fabiani,"Our position was and is that if we have an opportunity to explore other options in the county, then we'll do so."
Mark Fabiani,That model has become the trend around the country for stadium development.
Donald Fagen,"September 11, on a global scale, and my mother dying, on a personal level, were the two major things that got me thinking about all of this."
Donald Fagen,"When you get a groove going, time flies."
Donald Fagen,"What do you do with what you're given, and how do you transform it into something worthwhile?"
Donald Fagen,We're not getting any younger.
Donald Fagen,People are usually afraid to say what's on their mind.
Donald Fagen,I like it when songs develop in some way. Four minutes usually isn't enough time for something to develop musically.
Donald Fagen,"I have a critical nature, in the sense that when I look at something I often look for the flaws."
Donald Fagen,"I had trouble distinguishing art from life. I don't now, and I feel much better!"
Jeff Fager,"We have a lot of good material in the mix. I think when people tune in Sunday night, they'll see something special."
Jeff Fager,"We've all kind of talked him out of it. This year, he wants to do it."
Jeff Fager,"Mike Wallace has been the heart and soul of this broadcast since he and Don (Hewitt) started it almost four decades ago. Millions and millions of Americans have tuned in to '60 Minutes' on Sunday nights over all those years to see him in action and to find out what questions he would be asking each week. I'm glad he'll be around to do an occasional interview. He's had such a powerful impact on all of us who work here, on how we conduct interviews and how we report stories, that there will always be a piece of Mike in everything we do."
Jeff Fager,"They were telling us lives were in danger, could we please hold off â€” and it was a plea from the Joint Chiefs of Staff. That's not something that happens every day."
Jeff Fager,"I think there's some anxiety, but I don't think it's unhealthy. More people make it a little more tense at times, but I think it benefits the viewer. Getting on the air depends on how good your story is."
Russ Fager,He's showing us a lot in practice. He's a hard worker. He's just been a sponge. He's learning like crazy. I think he's having fun playing with a higher level of player. I think he's going to do very well for himself.
Russ Fager,"We found him just by sheer luck. I was going after some boys from England, and Barry's name popped up. We had what he wanted. Hopefully, he has what we wanted."
Russ Fager,"I think we're going to be very strong defensively. I think we're going to have the ability to score goals. I think it's going to be a matter of being healthy, and everyone staying on the field."
John Fahey,"As for the source of the music, I believe it comes from the unconscious; that there is no such thing as talent."
John Fahey,"In fact, I would go so far as to say that I am playing emotions and expressing them in a coherent public language called music."
