author,quote
Jay Haas,"I'm a little surprised, to tell you the truth. I hadn't been playing that well lately."
Jay Haas,"I think Curtis is finally getting his drive back, his passion for the game, ... I think he's starting to enjoy that competition again. That's what drives us all out here that feeling of being able to hit a good shot in a tough situation."
Jay Haas,"I wasn't flawless out there, ... I was just fortunate that Dana made a couple of mistakes and paid for them."
Jay Haas,"All of us feel he can do whatever he wants, ... He can play no events; he can play every event. We all love to see him. We owe so much to him. I guess I don't think, 'This could be the last time Arnold Palmer plays golf,' because I don't think that's all Arnold is about. I don't think he's just about golf. He's Arnold Palmer. He's a great man."
Jay Haas,"I think I lost my golf energy. You can't come out here and go through the motions. These guys are too good. I guess I'm at a crossroads. Right now, I would say I'll play more on the Champions Tour. But if I start to play a little better at the end of the year ... I still like to do this."
Richard Haass,"I do think there's been progress in some areas. In the last four years, for example, I think the world has become a tougher place for terrorists to operate in."
Richard Haass,The biggest thing these appointments tell you about the direction of U.S. foreign policy is that there is no direction.
Richard Haass,The most dangerous delusion is that a conflict would be either small or quick.
James Hacker,"I think at this point we're waiting for the National Transportation Safety Board report. After that, there's an issue I think regarding the pump on the boat. That may lead to additional defendants."
James Hacker,The government has to update its regulations.
James Hacker,"Maybe some good is going to come out this in the future. It is gratifying. As far as our clients are concerned, it's a little too late."
Marilyn Hacker,"When you translate poetry in particular, you're obliged to look at how the writer with whom you're working puts together words, sentences, phrases, the triple tension between the line of verse, the syntax and the sentence."
Marilyn Hacker,"When I edited Thirteenth Moon, a feminist literary magazine, I basically supported it myself with an essential grant here and there."
Marilyn Hacker,"We sometimes received - and I would read - 200 manuscripts a week. Some of them were wonderful, some were terrible; most were mediocre. It was like the gifts of the good and bad fairies."
Marilyn Hacker,Various on-line discussion groups are ways to find out about books and writers that one might have remained ignorant of otherwise.
Marilyn Hacker,Translation is an interestingly different way to be involved both with poetry and with the language that I've found myself living in much of the time. I think the two feed each other.
Marilyn Hacker,There is something very satisfactory about being in the middle of something.
Marilyn Hacker,"There is a way in which all writing is connected. In a second language, for example, a workshop can liberate the students' use of the vocabulary they're acquiring."
Marilyn Hacker,"The woman poet must be either a sexless, reclusive eccentric, with nothing to say specifically to women, or a brilliant, tragic, tortured suicide."
Marilyn Hacker,"Given the devaluation of literature and of the study of foreign languages per se in the United States, as well as the preponderance of theory over text in graduate literature studies, creative writing programs keep literature courses populated."
Marilyn Hacker,"Community means people spending time together here, and I don't think there's really that."
Marilyn Hacker,"Clearly, once the student is no longer a student the possibilities of relationship are enlarged."
Marilyn Hacker,Everyone thinks they're going to write one book of poems or one novel.
Buddy Hackett,As a child my family's menu consisted of two choices:  take it or leave it
Buddy Hackett,I've had a good day when I don't fall out of the cart.
Buddy Hackett,"I've had a few arguments with people, but I never carry a grudge. You know why? While you're carrying a grudge, they're out dancing."
Buddy Hackett,As a child my family's menu consisted of two choices: take it or leave it.
David Hackworth,Writing with you is the only thing that keeps me alive.
David Hackworth,That's what supporting the troops is really all about - making sure American grunts get the right stuff!
