author,quote
Ibrahim Jaaber,I don't think it was because I was playing against Housman that I had a good game. I think just he was the opponent that day.
Ibrahim Jaaber,"In a game like this, anything can happen, so you have to be prepared for it."
Ibrahim Jaaber,"I don't know what to think, there are a few mixed emotions. There's going to be a lot of adjustment. I don't know if it's going to be positive adjustment or negative adjustment."
Ibrahim Jaaber,"You lose confidence after a while and start believing that you can't win games down the stretch. The guys stepped up. We got pretty much every rebound we needed to get, and that was a confidence booster for us."
Ibrahim Jaaber,"In college basketball this year, a one and two and three seed are pretty much the same quality team. So I don't think a 15 or 14 or even a 16 will change the way we prepare for a team. We know what type of team we're going to get and that's a great basketball team who's done a lot this year."
Shane Jabaar,"If he plays and aggravates the injury, he can possibly miss the rest of the series because the matches are just a few days apart. The plan is to get him fit for the final and most important part of the series."
Shane Jabaar,"If we can keep him pain-free for a long time, he can overcome it."
Shane Jabaar,"He will be monitored on a constant basis and should he show sufficient improvement and be able to bowl symptom-free, a decision on when he will join the tour will be taken at that time."
Shane Jabaar,"He will bat in the nets tomorrow, and then we will have a better idea of his fitness to play in the first Test."
Shane Jabaar,"(In Australia) we didn't have the luxury of gradually bringing Jacques back into the action. He came straight back and the workload (was high). He hurt the elbow again. We want to avoid that this time, and slowly integrate him back into the team."
Manju Jabbie,I have to take every match step by step. I can't worry about the match ahead or anything after that. I can't get too far ahead of myself.
Manju Jabbie,"I don?t even think about (being undefeated). If those thoughts enter your mind, you may not wrestle to the best of your ability."
Manju Jabbie,Marysville will be tough. I'm looking forward to it. It will be fun.
Wolfman Jack,"A little mordida, here. A little mordida, there."
Wolfman Jack,"Half the time I feel like I'm appealing to the downer freaks out there. We start to play one downer record after another until I begin to get down myself. Give me something from 1960 or something; let me get up again. The music of today is for downer freaks, and I'm an upper."
Wolfman Jack,We are put on this earth to have a good time. This makes other people feel good. And the cycle continues.
Wolfman Jack,My fake Japanese was smooth enough to earn me the title of 'The Emperor of Pleasing Graciousness' in that country.
Wolfman Jack,"I started out as an opportunistic renegade. By now, I've lasted long enough to become sort of an American Original Respectable Renegade."
Kenny Jackett,"I'm delighted with the victory,"
Kenny Jackett,"Steve is a quality player. He is strong in the air and in the tackle. In fact, his all-round game is very strong."
Kenny Jackett,That was as well as we've played this year - particularly the first 45 minutes. The performance was excellent.
Hugh Jackman,"I play one of the greatest magicians of the time period. It's an incredibly original story, a mind bender with twists and turns. The entire script is a magic trick."
Hugh Jackman,"My father is a real idealist, and he's all about learning. If I asked for a pair of Nikes growing up, it was just a resounding 'No.' But if I asked for a saxophone, one would appear and next day and I'd be signed up for lessons. So anything to do with education or learning, my father would spare no expense."
Hugh Jackman,"My agent said to me five years ago, 'Hugh, I can see one day you... if I had to plan a goal for you, it's for you to have the kind of career that Sinatra had.'"
Hugh Jackman,"Being on Broadway is the modern equivalent of being a monk. I sleep a lot, eat a lot, and rest a lot."
Hugh Jackman,I just love making a fool out of myself. I made my living as a clown at kids' parties for about three years.
Hugh Jackman,"I'm not a kid. You don't get in this business for anonymity. It's not like I have posters of myself on the wall, but at the same time, I'm kind of ready for a little bit of it, but I worry for my little one, and my family - their privacy. That's what I'm more protective of."
Hugh Jackman,"I have a terrific marriage, but unlike a lot of relationships where they ebb and flow, no matter what happens you fall deeper and deeper in love every day. It's kind of the best thing that can happen to you. It's thrilling."
Hugh Jackman,"We feel that there are so many kids who need adopting. We thought we'd do it after having a couple of our own, but we just changed our mind."
Hugh Jackman,"Sometimes you have to go places with characters and emotions within yourself you don't want to do, but you have a duty to the story and as a storyteller to do it."
Hugh Jackman,"Becoming a father, I think it inevitably changes your perspective of life. I don't get nearly enough sleep. And the simplest things in life are completely satisfying. I find you don't have to do as much, like you don't go on as many outings."
Hugh Jackman,"I'm a big goofball, you know. Don't tell anyone that, but I'm a big goofball. In Australia we call it a dag."
Hugh Jackman,"It's set in three time zones: 16th-century Spain, present-day America and the distant future, deep space, ... lovers in each time zone. It's kind of a sci-fi love story. The Fountain refers to the search for the fountain of youth."
Hugh Jackman,"Action figure. People can stick pins in it, put in the freezer. It's far more dangerous than a videogame."
Alan Jackson,"...they're thinking about putting me on the cover of the USA Today, story of heartbreaking pain, picture of the loneliest man they claim, in the U.S.A. today."
Alan Jackson,Probably some of the songs I never even really listened to the lyrics. Half of them I'd hear off the radio and was probably singing the wrong words and didn't even know it.
Alan Jackson,"I really was a fan of his and always have been - his writing especially, you know? I think people a lot of times overlook that part, because he kind of got into that party character so heavy."
Alan Jackson,"I just always remembered that, not that it pushed me to be a singer, but I don't know why he said that. Hee Haw was a big part of my life, musically."
Alan Jackson,"I didn't realize until I was older what a huge music fan my daddy really was, and actually that my grandma played banjo at one time, and I didn't even know that until a year or two ago."
Alan Jackson,"I could have done a hundred songs, really. It was hard to narrow them down, because I tried to pick songs for the most part that actually did have some effect on me or influenced me in the past."
Alan Jackson,"Hee Haw was probably my biggest exposure to live music at a young age, because there wasn't any live music around my town and no one in my family played instruments."
Alan Jackson,He's written some great songs. I thought that Blues Man was a perfect song for me to do as a tribute.
Alan Jackson,"For some reason I've been labeled that and it's fine, but there are a lot of other artists that sing real traditional stuff, so I don't know why they picked me. That's what I've always done."
Alan Jackson,"My mother kept asking me, 'When are you going to do a gospel album?' And I've always wanted to do a gospel album. Everybody was going on about it, so mom started hounding me more."
Alan Jackson,Country Music: The Spirit of America
Andrew Jackson,"Anne's work reaches a broad audience. She had a one-woman show in the Red Light District of San Francisco at the Shooting Gallery next to a park where they actually do shoot up. You can't predict where her art will go, just that it will."
Andrew Jackson,Our Union: It must be preserved
Andrew Jackson,Our Union:  It must be preserved
Andrew Jackson,"It was settled by the Constitution, the laws, and the whole practice of the government that the entire executive power is vested in the President of the United States"
Andrew Jackson,"Peace, above all things, is to be desired, but blood must sometimes be spilled to obtain it on equable and lasting terms"
Andrew Jackson,"We made a mistake, and you have to be responsible for your mistakes. If they feel the title shouldn't be here at Burke, then it shouldn't be here. I'm fine with that. You just have to go out there and do it all over again."
Andrew Jackson,"Our brief was to create an environment where people could feel comfortable shopping, dining, relaxing and meeting friends and it is wonderful that our design has been acknowledged in this way."
Andrew Jackson,"Democracy shows not only its power in reforming governments, but in regenerating a race of men and this is the greatest blessing of free governments"
Andrew Jackson,"Every good citizen makes his country's honor his own, and cherishes it not only as precious but as sacred. He is willing to risk his life in its defence and is conscious that he gains protection while he gives it."
Andrew Jackson,The best thing for the Bank of Canada to do is to wait and see.
Andrew Jackson,"Soaring gasoline and natural gas prices will have a major negative impact on family budgets and household spending, likely resulting in job losses in sectors like tourism and retail trade."
Andrew Jackson,No one need think that the world can be ruled without blood. The civil sword shall and must be red and bloody.
Andrew Jackson,"I am a Senator against my wishes and feelings, which I regret more than any other of my life."
Andrew Jackson,Disunion by force is treason.
Andrew Jackson,"Democracy shows not only its power in reforming governments, but in regenerating a race of men and this is the greatest blessing of free governments."
Andrew Jackson,"Fear not, the people may be deluded for a moment, but cannot be corrupted."
Andrew Jackson,The Constitution and the laws are supreme and the Union indissoluble.
Andrew Jackson,"Our government is founded upon the intelligence of the people. I for one do not despair of the republic. I have great confidence in the virtue of the great majority of the people, and I cannot fear the result."
Andrew Jackson,I've got big shoes to fill. This is my chance to do something. I have to seize the moment.
Andrew Jackson,Elevate those guns a little lower.
Andrew Jackson,You must pay the price if you wish to secure the blessing.
Andrew Jackson,I have always been afraid of banks.
Andrew Jackson,"As long as our government is administered for the good of the people, and is regulated by their will; as long as it secures to us the rights of persons and of property, liberty of conscience and of the press, it will be worth defending."
Andrew Jackson,There are no necessary evils in government. Its evils exist only in its abuses.
Andrew Jackson,Never take counsel of your fears.
