author,quote
Li Ka-Shing,"I don't think Husky is for sale; it's doing well, the potential is great and its production will increase before the end of this year."
Li Ka-Shing,"Information and communications technology unlocks the value of time, allowing and enabling multi-tasking, multi-channels, multi-this and multi-that."
Li Ka-Shing,"Vision is perhaps our greatest strength... it has kept us alive to the power and continuity of thought through the centuries, it makes us peer into the future and lends shape to the unknown."
Li Ka-Shing,"The future may be made up of many factors but where it truly lies is in the hearts and minds of men. Your dedication should not be confined for your own gain, but unleashes your passion for our beloved country as well as for the integrity and humanity of mankind."
Li Ka-Shing,"We are approaching a new age of synthesis. Knowledge cannot be merely a degree or a skill... it demands a broader vision, capabilities in critical thinking and logical deduction without which we cannot have constructive progress."
Marwan Kabalan,"If you hand over these people, you would contribute to undermining the regime. The Syrian government might think that sanctions are a better alternative at the end of the day."
Marwan Kabalan,"Nobody listens, nobody reads. You have a very small circle of decision-makers in charge of decisions in the country. What do you expect?"
Marwan Kabalan,"Syria can't be important unless it plays its regional cards. This country is not wealthy and it doesn't have enough oil to be influential. We are playing the role of a bad student at school. If you don't make trouble, no one will pay attention to you."
Kabir,"plunge into the truth, find out who the Teacher is,Believe in the Great Sound!"
Kabir,"plunge into the truth, find out who the Teacher is,Believe in the Great Sound!"
Kabir,The stone neither speaks nor gives anything. Therefore its service is fruitless and its worship is of no avail.
Kabir,"Don't open your diamonds in a vegetable market. Tie them in bundle and keep them in your heart, and go your own way."
Kabir,"If you make love with the divine now, in the next lifeyou will have the face of satisfied desire."
Kabir,"If you make love with the divine now, in the next lifeyou will have the face of satisfied desire."
Kabir,"When affection for the I-creature and what it owns is dead,then the work of the Teacher is over."
Kabir,Do you believe there is some place that will make thesoul less thirsty?In that great absence you will find nothing.
Kabir,Do you believe there is some place that will make thesoul less thirsty?In that great absence you will find nothing.
Jaroslaw Kaczynski,I hope we will manage to create a coalition. I have reasons to believe this is a realistic perspective.
Jaroslaw Kaczynski,I'm convinced this will allow us to slowly build a majority in parliament and allow backing for the government until 2009.
Jaroslaw Kaczynski,"In our relations with Russia you need to be patient and avoid provocations, but if events like the recent ones take place, you have to tell the truth -- cowardice is only an encouragement."
Jaroslaw Kaczynski,We will submit this motion (to dissolve parliament) shortly so that elections could take place before the Pope's visit to Poland (on May 25-28).
Jaroslaw Kaczynski,Russia needs to accept that Poland is an independent player in this part of Europe and no doubt this will be a long and difficult process.
Jaroslaw Kaczynski,"This was the first conversation, we will hold further meetings."
Jaroslaw Kaczynski,"We have won. Everything indicates that we have won, but this is only the beginning."
Jaroslaw Kaczynski,"We just signed an agreement that I am deeply certain will lead to the creation of a lasting majority in parliament, which will rule until (the term ends) in 2009."
Pauline Kael,"The words Kiss Kiss Bang Bang which I saw on an Italian movie poster, are perhaps the briefest statement imaginable of the basic appeal of movies"
Pauline Kael,"Watching old movies is like spending an evening with those people next door. They bore us, and we wouldn't go out of our way to see them; we drop in on them because they're so close. If it took some effort to see old movies, we might try to find out which were the good ones, and if people saw only the good ones maybe they would still respect old movies. As it is, people sit and watch movies that audiences walked out on thirty years ago. Like Lot's wife, we are tempted to take another look, attracted not by evil but by something that seems much more shameful -- our own innocence."
