author,quote
Louis L'Amour,"Some say opportunity knocks only once, That is not true. Opportunity knocks all the time, but you have to be ready for it. If the chance comes, you must have the equipment to take advantage of it."
Louis L'Amour,A good beginning makes a good end.
Louis L'Amour,"Neither drink (coffee or tea) was known in Frankish lands, but seated in the coffeehouses, I drank of each at various times, twirling my mustache and listening with attention to that headier draught, the wine of the intellect, that sweet and bitter j"
Louis L'Amour,"Knowledge is awareness, and to it are many paths, not all of them paved with logic. But sometimes one is guided through the maze by intuition. One is led by something felt on the wind, something seen in the stars, something that calls from the wastelands to the spirit."
Louis L'Amour,"Knowledge is like money: to be of value it must circulate, and in circulating it can increase in quantity and, hopefully, in value."
Louis L'Amour,"Too often I would hear men boast of the miles covered that day, rarely of what they had seen."
Louis L'Amour,Nobody got anywhere in the world by simply being content.
Louis L'Amour,"No memory is ever alone; it's at the end of a trail of memories, a dozen trails that each have their own associations."
Louis L'Amour,"No one can get an education, for of necessity education is a continuing process."
Louis L'Amour,"For one who reads, there is no limit to the number of lives that may be lived, for fiction, biography, and history offer an inexhaustible number of lives in many parts of the world, in all periods of time."
Louis L'Amour,To disbelieve is easy; to scoff is simple; to have faith is harder.
Louis L'Amour,"Victory is won not in miles but in inches. Win a little now, hold your ground, and later, win a little more."
Louis L'Amour,"All loose things seem to drift down to the sea, and so did I."
Louis L'Amour,"He might never really do what he said, but at least he had it in mind. He had somewhere to go."
Louis L'Amour,"A wise man fights to win, but he is twice a fool who has no plan for possible defeat."
Louis L'Amour,There will come a time when you believe everything is finished. Yet that will be the beginning.
Mauli'a LaBarre,I'm just so happy to be part of this team. It's a great way to end the season. I've seen guys come in and out of the program. To have it be my senior night ... it's kind of surreal.
Mauli'a LaBarre,He had the international experience playing for the Junior (national) team.
Mauli'a LaBarre,The thing in men's volleyball is the competition is so tight. You only have so many programs. You don't have one or two good players on every team. You've got six or seven good players on every team. You've got to be focused or you'll be in trouble. That's a lesson we learned in (Friday's) match.
Patti LaBelle,There was nobody hating on nobody.
Patti LaBelle,"So if diva means giving your best, then yes, I guess I am a diva."
Patti LaBelle,"A diva is someone who is a perfectionist, who does her best in her craft."
Shia LaBeouf,"A lot of people like to think that golf is a lazy man's sport, ... Or it's a rich man's sport, or it's a sport that they can't be involved in. But they don't know Francis' story, which is why the movie was made in the first place: To bring back this amazing tale so that people could be educated about how interesting it was. When golf used to be a rich man's sport, if you were poor you could not step foot on a course. Francis was a caddy. He grew up across the street from the course, looked up to Harry Vardon (played by Stephen Dillane in the film), this five-time British Open champion â€” but he was never allowed to play."
Shia LaBeouf,I understand why marriages break up over golf. I can't even talk about my own handicap because it's too upsetting.
Shia LaBeouf,"I turned down a scholarship to Yale, ... The problem with college is that there's a tendency to mistake preparation for productivity. You can prepare all you want, but if you never roll the dice you'll never be successful."
Shia LaBeouf,If I have enough money to eat I'm good.
Neil LaBute,"You start as an audience member and create a world you're interested in, and then you move into the telling of those stories, bringing what has interested you as an audience member."
Neil LaBute,"Without In The Company of Men, I could still be teaching, so who knows if this would've existed."
Neil LaBute,"With In the Company of Men, the misogynist label stuck early and firmly. In the end, it probably did hurt the film a bit, because getting women into the theaters was difficult."
Neil LaBute,We live in a disposable society. It's easier to throw things out than to fix them. We even give it a name - we call it recycling.
Neil LaBute,We humans are a fairly barbarous bunch.
Neil LaBute,Unrequited love is always a great thing.
Neil LaBute,People think my work is therapeutic. I don't see it that way. It's not like I'm saving money from a weekly therapy visit by writing down my life.
Neil LaBute,People have perhaps gotten to the point where for the most part movies are a just bit of escape.
Neil LaBute,"My business is can I create a world that's possible and could happen? I think that's the only thing that I have to do, and I think that I have done that each time."
Neil LaBute,My best male friend is my best friend until he crosses me. We're all protective of the self.
Neil LaBute,"Just in the past few years - since I've been making movies, which isn't a very long time - you now have a culture that is fascinated and informed about the box office in a way that sometimes filmmakers weren't even."
Neil LaBute,"It's just often more interesting to write about one or more people who are being awful to other people because it makes for exciting, dramatic fare."
Neil LaBute,"If we put the camera on ourselves, our friends and neighbors, we'll come up with some scary stuff."
Neil LaBute,"I'm more than open to hope, but I think men and women have a difficult time dealing with each other and often take the low road."
Neil LaBute,I would be more frightened as a writer if people thought my movies were like science fiction.
Neil LaBute,"I will say that the idea of a woman being deceptive came from that original discussion with critics and reporters about if woman could do that kind of thing. Evelyn, herself, grew out of the discussions about how capable women are of deceit and lying and manipulation."
Neil LaBute,"I was very careful to cast guys who were very good-looking and very fit and who had a certain sense of privilege about them, because with that sense of privilege comes contempt."
Neil LaBute,I was always looking for the most dramatic emphasis.
Neil LaBute,I wanted to tell a story that interested me as much in the telling as in the watching.
Neil LaBute,"I wanted to make these people real, not like they were in a painting. Like these are people who don't know they're in a period movie. Those concerns are incredibly immediate."
Neil LaBute,"I think the more the actor lets you know what he thinks of the character, the less the audience cares - like a comedian who laughs at his own jokes."
Neil LaBute,"I think people are capable of everything I've written. Would they ever do it? I don't know and really don't care, because that's not my business."
