author,quote
Jack Ma,But you've got to have patience to make money here.
Jack Ma,I would do the same thing. I would let the government take him.
Jack Ma,"We used to take these great hikes on the Great Wall, ... From our hikes, we developed a friendship that ended up with us combining forces in forming this new Chinese company."
Jack Ma,"Four years ago, we were naive; there was fierce fighting, ... Now all of us are survivors. We are more calm-minded."
Jack Ma,"What we are doing is to design an on-line search engine for ordinary people, not just the engineers. We are more focused and a totally search engine technology will come to the Chinese market within three to five years."
Jack Ma,"The game is almost over, finished. I'm not interested in that competition at all,"
Yo-Yo Ma,"After reaching 50, I began to wonder what the root of life is."
Yo-Yo Ma,Good things happen when you meet strangers.
Yo-Yo Ma,"The tango is really a combination of many cultures, though it eventually became the national music of Argentina."
Yo-Yo Ma,"One is that you have to take time, lots of time, to let an idea grow from within. The second is that when you sign on to something, there will be issues of trust, deep trust, the way the members of a string quartet have to trust one another."
Yo-Yo Ma,"I love grocery shopping when I'm home. That's what makes me feel totally normal. I love both the idea of home as in being with my family and friends, and also the idea of exploration. I think those two are probably my great interests."
Wangari Maathai,"We are very fond of blaming the poor for destroying the environment. But often it is the powerful, including governments, that are responsible."
Wangari Maathai,"We can work together for a better world with men and women of goodwill, those who radiate the intrinsic goodness of humankind."
Wangari Maathai,"I am working to make sure we don't only protect the environment, we also improve governance."
Wangari Maathai,"If you want the future generations to live in peace, we must invest in the protection of the environment and we must train especially our young people so that they don't think, for example, the whole world is like Japan."
Wangari Maathai,"In a few decades, the relationship between the environment, resources and conflict may seem almost as obvious as the connection we see today between human rights, democracy and peace."
Lorin Maazel,"[So whether you're devoted to the classical standards, crave something new, or look to deepen your understanding of a new work or an old favorite, the Philharmonic has your ticket to excitement:] The concert hall, ... is a place for controversy, for people who will stand up and scream 'We hate it!' and people who will stand up and scream 'We love it!' A major orchestra has to put forth the great masterpieces that have stirred, and continue to stir, assent and dissent."
Lorin Maazel,"The Beethoven Experience provided the opportunity to solidify the relationship between the Orchestra and me, the Orchestra and me and the public, between all of us and the city of New York, because Beethoven after all is a really amazing point of reference."
Lorin Maazel,"In these confused times, the role of classical music is at the very core of the struggle to reassert cultural and ethical values that have always characterized our country and for which we have traditionally been honored and respected outside our shores."
Lorin Maazel,I think I infuse the music with a new passion. Part of this is because I have fallen in love: I am in love with the New York Philharmonic. The chemistry has just been right. Beyond expectation.
Douglas MacArthur,Always there has been some terrible evil at home or some monstrous foreign power that was going to gobble us up if we did not blindly rally behind it.
Douglas MacArthur,"There's no security on this earth, only opportunity."
Douglas MacArthur,Rules are mostly made to be broken and are too often for the lazy to hide behind
Douglas MacArthur,No man is entitled to the blessings of freedom unless he be vigilant in its preservation.
Douglas MacArthur,"If you must fire do a good job-a few casualties become martyrs, a large number an object lesson. ...When a mob starts to move keep it on the run. ...Use a bayonet to encourage its retreat. If they are running, a few good wounds in the buttocks will encourage them. If they resist, they must be killed."
Douglas MacArthur,We are not retreating. We are advancing in another direction.
Douglas MacArthur,"Last, but by no means least, courage-moral courage, the courage of one's convictions, the courage to see things through. The world ;is in a constant conspiracy against the brave. It's the age-old struggle-the roar of the crowd on one side and the voice of your ;conscience on the other."
Douglas MacArthur,"And like the old soldier in that ballad, I now close my military career and just fade away, an old soldier who tried to do his duty as God gave him the sight to see that duty."
Douglas MacArthur,"Like the old soldier of the ballad, I now close my military career and just fade away, an old soldier who tried to do his duty as God gave him the light to see that duty. Goodbye."
Douglas MacArthur,Old soldiers never die; they just fade away.
Douglas MacArthur,Life is a lively process of becoming.
Douglas MacArthur,The best luck of all is the luck you make for yourself.
Douglas MacArthur,"I am concerned for the security of our great Nation; not so much because of any threat from without, but because of the insidious forces working from within."
Douglas MacArthur,There is no substitute for victory.
Douglas MacArthur,You are remembered for the rules you break.
Douglas MacArthur,"Old soldiers never die; they just fade away. And like the old soldier in that ballad, I now close my military career and just fade away, an old soldier who tried to do his duty as God gave him the sight to see that duty."
Douglas MacArthur,"The world is in a constant conspiracy against the brave. It's the age-old struggle: the roar of the crowd on the one side, and the voice of your conscience on the other."
Douglas MacArthur,My first recollection is that of a bugle call.
Douglas MacArthur,"Whether in chains or in laurels, liberty knows nothing but victories."
Douglas MacArthur,Only those are fit to live who are not afraid to die.
Douglas MacArthur,"I suppose, in a way, this has become part of my soul. It is a symbol of my life. Whatever I have done that really matters, I've done wearing it. When the time comes, it will be in this that I journey forth. What greater honor could come to an American, and a soldier?"
Douglas MacArthur,A better world shall emerge based on faith and understanding.
Douglas MacArthur,We are not retreating - we are advancing in another direction.
Douglas MacArthur,Our government has kept us in a perpetual state of fear - kept us in a continuous stampede of patriotic fervor - with the cry of grave national emergency.
Douglas MacArthur,Americans never quit.
Douglas MacArthur,Never give an order that can't be obeyed.
Douglas MacArthur,A general is just as good or just as bad as the troops under his command make him.
Douglas MacArthur,Part of the American dream is to live long and die young. Only those Americans who are willing to die for their country are fit to live.
Douglas MacArthur,There is no security on this earth; there is only opportunity.
Douglas MacArthur,"I have just returned from visiting the Marines at the front, and there is not a finer fighting organization in the world!"
Douglas MacArthur,"Duty, Honor, Country. Those three hallowed words reverently dictate what you ought to be, what you can be, what you will be."
Douglas MacArthur,Age wrinkles the body. Quitting wrinkles the soul.
Douglas MacArthur,"Years wrinkle the skin, but to give up enthusiasm wrinkles the soul."
Douglas MacArthur,"People grow old only by deserting their ideals, Macarthur had written. Years may wrinkle the skin, but to give up interest wrinkles the soul. You are as young as your faith, as old as your doubt; as young as your self-confidence, as old as your fear; as young as your hope as old as your despair. In the central place of every heart there is a recording chamber. So long as it receives messages of beauty, hope, cheer and courage, so long are you young. When your heart is covered with the snows of pessimism and the ice of cynicism, then, and then only, are you grown old. And then, indeed as the ballad says, you just fade away."
Douglas MacArthur,"They died hard, those savage men - like wounded wolves at bay. They were filthy, and they were lousy, and they stunk. And I loved them."
Ellen MacArthur,"You concentrate on solving your problems or keeping the boat safe or making sure you take the best route through the storm so you don't get caught in the worst part of it and you just concentrate on coming out the other side,."
Ellen MacArthur,"You don't fear for your life in the middle of a storm, you can't really afford to,"
Ellen MacArthur,"[It read:] Courage is not having the energy to go on, it's going on when you do not have the energy. ... And that's true."
Thomas Macaulay,A system in which the two great commandments are to hate your neighbor and to love your neighbor's wife.
Thomas Macaulay,"Perhaps no person can be a poet, or can even enjoy poetry, without a certain unsoundness of mind."
Thomas Macaulay,"The Puritan hated bear-baiting not because it gave pain to the bear, but because it gave pleasure to the spectators"
Thomas Macaulay,"In Plato's opinion, man was made for philosophy; in Bacon's opinion, philosophy was made for man."
Thomas Macaulay,We know no spectacle so ridiculous as the British public in one of its periodical fits of morality
Thomas Macaulay,"Language, the machine of the poet, is best fitted for his purpose in its rudest state. Nations, like individuals, first perceive, and then abstract. They advance from particular images to general terms. Hence the vocabulary of an enlightened society is philosophical, that of a half-civilized people is poetical."
Thomas Macaulay,"Charles V said that a man who knew four languages was worth four men; and Alexander the Great so valued learning, that he used to say he was more indebted to Aristotle for giving him knowledge that, than his father Philip for giving him life."
Thomas Macaulay,"And how can man die better than facing fearful odds, for the ashes of his fathers, and the temples of his Gods?"
Thomas Macaulay,There is only one cure for the evils which newly acquired freedom produces; and that is freedom.
Thomas Macaulay,Nothing except the mint can make money without advertising.
Thomas Macaulay,Few of the many wise apothegms which have been uttered have prevented a single foolish action.
Thomas Macaulay,The gallery in which the reporters sit has become a fourth estate of the realm.
Thomas Macaulay,The effect of violent dislike between groups has always created an indifference to the welfare and honor of the state.
Thomas Macaulay,I would rather be poor in a cottage full of books than a king without the desire to read
Ralph Macchio,"We intended for the 'Ultimate Spider-Man'â€”and all the Ultimate Annuals-- to continue the tradition set by their monthly counterparts: Top creators giving the readership solid stories, beautifully illustrated."
Ralph Macchio,"I just love that one and always loved the moment where Daniel bows to Miyagi after he puts him to sleep, ... That was John Avildsen saying, 'Before you leave, just turn and bow to him.' It's just a genuine organic great moment that just sort of came up on the day."
Ralph Macchio,"Wax on, wax off' -- [it] comes every day. Well, maybe not every day, but every week, ... And everyone yells out the phrase as if they'd just come up with the idea, thinking, 'Whoa, isn't that genius? Hey Ralph, wax on, wax off!'"
Ralph Macchio,"My life is all the richer for having known him, ... I will miss his genuine friendship."
Ralph Macchio,"In this arc we see the appearance of Ultimate Namor for the first time! And, we learn how truly dissimilar he is to the mainstream Sub-Mariner. We'll be digging deep into the mythology of the Ultimate Universe here."
Don MacDonald,"That camera, that PC and that television have all got to talk as if they were designed and delivered from the same company with ease of use in mind."
Don MacDonald,"The good news is the PC industry alone is a fabulous business.  But add to that the potential of the 1 billion PC devices [consumer electronics based on the PC] and then you get to put into perspective Paul's comments. 10x increased performance, one-tenth the power consumption and 10x the market opportunity."
Don MacDonald,Intel Viiv technology is our first platform designed from the ground up for the digital home.
Don MacDonald,"Intel Viiv technology is our first platform designed from the ground up for the digital home, where consumers are passionate about the idea of accessing their content anytime, anywhere in their home on a number of devices."
Don MacDonald,"The good news is the PC industry alone is a fabulous business. â€¦ But add to that the potential of the 1 billion PC devices [consumer electronics based on the PC] and then you get to put into perspective Paul's comments. 10x increased performance, one-tenth the power consumption and 10x the market opportunity."
Don MacDonald,"As Intel architecture moves into these new spaces two things will happen. The first is that we get to re-energize the PC category. It's already great, but this ability to have digital and entertainment content interfacing with the PC will give it a burst of adrenaline. The second thing is that the category you [developers in the audience] can develop for can be expanded to the areas of digital televisions, digital recorders, set top boxes."
Norm Macdonald,"Scientists believe they may have discovered a primitive form of life on Jupiter's moon Europa. That primitive form of life? You guessed it, Frank Stallone."
Norm Macdonald,"I was in my peak physical condition when I was about like, uh... one. Oh God, I looked good, young and fresh! You wouldn't know me now if you'd seen me when I was one, you know?"
Norm Macdonald,I would love to stay at SNL forever. But you can't stay in the same place. People think you're a loser.
Seth MacFarlane,You gotta keep the funny intact.
Seth MacFarlane,"With any half-hour comedy, it kind of takes on its own life and finds itself."
Seth MacFarlane,"When you are in a room and your job is to write jokes 10 hours a day, your mind starts going to strange places."
Seth MacFarlane,The success of The Simpsons really opened doors. It showed that if you were working in animation you didn't necessarily have to be working in kids' television.
Seth MacFarlane,The only problem is time.
Seth MacFarlane,The good thing about Broadway is that you don't have to worry about an airdate. It gets done when it gets done.
Seth MacFarlane,"Some of those more out-there jokes were written in the wee hours of the morning. Somehow, they remained funny the next day."
Seth MacFarlane,I wrote on a show called Johnny Bravo when I was at Hanna-Barbera.
Seth MacFarlane,Chris Elliott could read the phonebook and he's funny.
MacGyver MacGyver,Using violence isn't the only way to solve a problem.
MacGyver MacGyver,How can you feel confined when you're in touch with the universe?
MacGyver MacGyver,You can run away from your problems for only so long before they start catching up with you.
MacGyver MacGyver,"Don't make the same mistakes others do because if you quit, you'll always wonder."
