author,quote
Vladimir Nabokov,Poetry involves the mysteries of the irrational perceived through rational words
Vladimir Nabokov,"For me, a work of fiction exists only insofar as it affords me what I shall bluntly call aesthetic bliss, that is a sense of being somehow, somewhere, connected with other states of being where art (curiosity, tenderness, kindness, ecstasy) is the norm."
Vladimir Nabokov,Here lies the sense of literary creation: to portray ordinary objects as they will be reflected in kindly mirrors of future times. . . . To find in objects around us the fragrant tenderness that only posterity will discern . . .
Vladimir Nabokov,The tiny madman in his padded cell.
Vladimir Nabokov,Turning one's novel into a movie script is rather like making a series of sketches for a painting that has long ago been finished and framed.
Vladimir Nabokov,"The more gifted and talkative one's characters are, the greater the chances of their resembling the author in tone or tint of mind."
Vladimir Nabokov,"Some people, and I am one of them, hate happy ends. We feel cheated. Harm is the norm."
Vladimir Nabokov,Poetry involves the mysteries of the irrational perceived through rational words.
Vladimir Nabokov,Nothing is more exhilarating than philistine vulgarity.
Vladimir Nabokov,No author has created with less emphasis such pathetic characters as Chekhov has.
Vladimir Nabokov,"My loathings are simple: stupidity, oppression, crime, cruelty, soft music."
Vladimir Nabokov,"I would like to spare the time and effort of hack reviewers and, generally, persons who move their lips when reading."
Vladimir Nabokov,"I think it is all a matter of love: the more you love a memory, the stronger and stranger it is."
Vladimir Nabokov,"I have often noticed that after I had bestowed on the characters of my novels some treasured item of my past, it would pine away in the artificial world where I had so abruptly placed it."
Vladimir Nabokov,I cannot conceive how anybody in his right mind should go to a psychoanalyst.
Vladimir Nabokov,Genius is an African who dreams up snow.
Vladimir Nabokov,Complacency is a state of mind that exists only in retrospective: it has to be shattered before being ascertained.
Vladimir Nabokov,All my stories are webs of style and none seems at first blush to contain much kinetic matter. For me style is matter.
Vladimir Nabokov,"Happy is the novelist who manages to preserve an actual love letter that he received when he was young within a work of fiction, embedded in it like a clean bullet in flabby flesh and quite secure there, among spurious lives."
Vladimir Nabokov,"The good, the admirable reader identifies himself not with the boy or the girl in the book, but with the mind that conceived and composed that book."
Vladimir Nabokov,"The evolution of sense is, in a sense, the evolution of nonsense."
Vladimir Nabokov,"There is nothing in the world that I loathe more than group activity, that communal bath where the hairy and slippery mix in a multiplication of mediocrity."
Vladimir Nabokov,A masterpiece of fiction is an original world and as such is not likely to fit the world of the reader.
Vladimir Nabokov,Revelation can be more perilous than Revolution.
Vladimir Nabokov,"I think like a genius, I write like a distinguished author, and I speak like a child."
Vladimir Nabokov,It's a pity one can't imagine what one can't compare to anything. Genius is an African who dreams up snow.
