author,quote
Conan O'Brien,thrilled to get this opportunity.
Conan O'Brien,"The ultimate responsibility to drop audio on something like that is mine. It's my show, 'Late Night with Conan O'Brien,' ... If I had to do it over again, I understand that word is offensive to people, it hurts people. I would say, 'Let's drop audio on it.'"
Conan O'Brien,Late Night With Conan O'Brien
Conan O'Brien,A study in the Washington Post says that women have better verbal skills than men. I just want to say to the authors of that study: Duh.
Conan O'Brien,I'm not sure if I helped or hurt her. The important thing is just that I had an impact. I don't care what kind of impact it was.
Conan O'Brien,The whole experience was surreal. It was a fevered dream.
Conan O'Brien,It's not every day I get to meet the president of a country.
Conan O'Brien,"No charm, no humor, no wit -- and a personality which can only be described as 'icky.'"
Conan O'Brien,"This cowardly, back-tracking, fast-talking, slick character, to me, is probably the most imitated character and persona that's in comedy."
Conan O'Brien,"Come back to bed, God!"
Conan O'Brien,"Baseball said it's instituting tougher steriod testing. For the 1st offense, players get a 10-game suspension. For repeat offenses, players will get a batting championship."
Conan O'Brien,John Travolta said he sometimes lets his friends take control of his airplane even though they don't know what they're doing. Then Travolta said he often does the same thing with his career.
Conan O'Brien,"In New York, we had primary elections for mayor. To improve their chances, all five candidates changed their name to Rudy Giuliani."
Conan O'Brien,A study in the Washington Post says that women have better verbal skills than men. I just want to say to the authors of that study: 'Duh.'
Conan O'Brien,Fish recognize a bad leader.
Conan O'Brien,"Scientists announced that they have located the gene for alcoholism. Scientists say they found it at a party, talking way too loudly."
Conan O'Brien,"President Clinton signed a $10 million deal to write a book by 2003. Isn't that amazing? Yes, and get this, not only that, President Bush signed a $10 million deal to read a book by 2003."
Conan O'Brien,"Several hard-core Star Wars fans who had tickets for the first showing actually said that when the movie finally began, they started crying. Mainly because they realized that it's 22 years later, and they still haven't lost their virginity."
Conan O'Brien,"If life gives you lemons, make some kind of fruity juice."
Conan O'Brien,Pamela Anderson Lee released a statement confirming that she has had her breast implants removed. Doctors say that Pamela is doing fine and that her old implants are now dating Charlie Sheen.
Conan O'Brien,"Michael Jackson was inducted into the Rock and Roll Hall of Fame. It caused quite a controversy, because his nose isn't eligible for another fifteen years."
Conan O'Brien,"In a prime-time address, President Bush said he backed limited federal funding for stem cell research. That's right, the President said, this is a quote, the research could help cure brain diseases like Alzheimer's, Parkinson's, and whatever it is I have."
Conan O'Brien,"Early on, they were timing my contract with an egg timer."
Conan O'Brien,"Yesterday American and British troops handed out food to hundreds of Iraqis. Not surprisingly, the Iraqis handed the British food back."
Conan O'Brien,"Apparently the new high-tech Star Wars toys will be in stores any day now. The toys can talk and are interactive, so they can be easily distinguished from Star Wars fans."
Conan O'Brien,"CBS news anchor Dan Rather has interviewed Iraqi dictator Saddam Hussein. When asked what it was like to talk to a crazy man, Saddam said, 'It's not so bad.'"
Conan O'Brien,"President Bush left for Canada today to attend a trade summit. Reportedly, the trade summit got off to an awkward start when the president pulled out his baseball cards."
Conan O'Brien,"In Cleveland there is legislation moving forward to ban people from wearing pants that fit too low. However, there is lots of opposition from the plumber' union."
Conan O'Brien,"In West Virginia yesterday, a man was arrested for stealing several blow-up dolls. Reportedly, police didn't have any trouble catching the man because he was completely out of breath."
Conan O'Brien,"You know why the French don't want to bomb Saddam Hussein? Because he hates America, he loves mistresses and wears a beret. He IS French, people."
Conan O'Brien,"Earlier today, Arnold Schwarzenegger criticized the California school system, calling it disastrous. Arnold says California's schools are so bad that its graduates are willing to vote for me."
Jack O'Brien,"It's kind of simple, really. We couldn't leave those kids. I don't know if we didn't have our priorities right or what. But those kids mean everything to us."
Jack O'Brien,"A lot of my friends told me that I'd get over that ... that it would go away. We did everything we could to them ... talked to them, took them to McDonald's ... but it just dawned on us that we meant too much to them. In the end, we felt we were leaving them hanging."
Jack O'Brien,You try to make a point that it's not just about basketball. But sometimes you can't win.
James O'Brien,"That's an awful lot of money, but anytime the town can purchase land, I have to say I'm for it. The town needs to do some land banking."
James O'Brien,That way we'll be able to set aside some money to purchase land when it becomes available.
James O'Brien,"The people down there were thankful. It put a light back in their eyes,"
James O'Brien,"With only boat traffic possible to the community, it would be a complex process."
Jim O'Brien,If you look back at the Somers game or our first game against Suffield (a 45-39 victory at Suffield High on Dec. 22) we know we can play at that level. If we play Suffield again I think it would be a great match-up and I think we would come out on top.
Jim O'Brien,"practiced full out, had a good practice."
Jim O'Brien,Our number one hazard in our hazard analysis for southern Nevada pegs communicable disease as our highest hazard.
Jim O'Brien,"When it's cold in the Pacific, Florida burns out of control in the spring, ... And when it's warm in the Pacific, you get winter rain, and it's not so bad."
Mark O'Brien,"You may not get your preferred home site, but you're buying an active lifestyle. Take a good, hard look at what's out there."
Mark O'Brien,"For anybody coming in, she was the best person to be beside. She's grounded in the community and in the workplace. She made my transition to anchor so much easier because she's more like a sister or mentor."
Mark O'Brien,"When I look back, I'm proud of where he's come from. He's overcome adversity; he struggled early on, but he was persistent."
