author,quote
Michael Pachter,"The worst effects of the transition lie ahead. Although we expect a brief respite from double-digit sales declines in April, when Microsoft is likely to double the supply of Xbox 360 hardware units, we expect a return to software sales declines over the next several months."
Michael Pachter,"We believe that industry sales have been quite weak since Take-Two's late October negative preannouncement, primarily due to consumer malaise and a shortage of Xbox 360 hardware... Given weak November NPD sales and Electronic Arts' and Activision's recent earnings warnings, we believe that Take-Two likely experienced weak sales during the holiday period, as consumers continue to shun current generation games while waiting for next generation consoles."
Michael Pachter,"After April, we expect monthly next generation software sales to remain fairly stable at around $100 - 150 million through October (representing year-over-year growth of $80 - 130 million), with declines of current generation software sales expected to remain at around $130 - 150 million monthly. We expect relatively flat sales through the summer months, with potentially robust sales in November and December, once next generation consoles from Sony and Nintendo are launched."
Michael Pachter,"We note that NPD U.S. retail video-game software sales data for the January quarter implies that Take-Two's sales are down 40 percent compared with the prior-year quarter, so we believe that the company is likely on track to meet our revenue and earnings per share estimates for the period."
Michael Pachter,NPD US retail video game software sales data for the January quarter implies that Take-Two's sales are down 40 percent compared with the prior year quarter.
Michael Pachter,"It's like a shifting of loan repayment responsibility, collateralized by Midway shares."
Michael Pachter,"Although Midway continues [to] generate large losses, we continue to believe that Midway is a potential turnaround story. The company's cost structure suggests that it can achieve profitability at revenue levels of $300 million annually, and we remain confident that Midway will be able to generate revenues at the $300 - 800 million level over the next several years. However, to achieve this level of revenues, the company must continue to expend resources on growing its development capability."
Michael Pachter,"We believe that speculation about a potential leveraged buyout is unfounded. If anything, Take-Two's disclosure that it may require additional capital to fund next generation game development suggests to us that it is not an LBO candidate."
Michael Pachter,"We do not expect a current generation Xbox price cut from Microsoft this year, notwithstanding the company's stated intention to 'support' the current generation console. We believe that Microsoft's production cost of the Xbox is higher than the current retail price, precluding further price cuts, and we also think that the company prefers that consumers buy its next generation console when that box is introduced."
Michael Pachter,"[Sony's people have] bet the entire future on this, ... It's too important for them to lose, so they will do everything they can to win."
Michael Pachter,You're going to see the Revolution as the second console of choice in the household.
Michael Pachter,"Microsoft's first-mover advantage is eroding if it takes them very long to get the first 5 million boxes out. If 4 million show up in the month of June and Sony launches in the month of June, there's not much of an advantage (for Microsoft)."
Al Pacino,Vanity is my favourite sin.
Al Pacino,"quality is higher, and the films we are choosing are ones that really found their audience in a massive way through DVD."
Al Pacino,My first language was shy. It's only by having been thrust into the limelight that I have learned to cope with my shyness.
Al Pacino,"I was a kid when Dean came out. Dean was the inspiration. Even the red jacket he wore in 'Rebel Without a Cause,' you saw that red jacket popping up all over the place. He really reached people in a way; it was kind of a phenomenon when you think of it. I wonder what it would be like today, that kind of a person ... he made that connection with his audience. And I remember at that time my mother loved him. He reached everybody."
Al Pacino,It's easy to fool the eye but it's hard to fool the heart.
Manny Pacquiao,This was very important. I don't get to Morales without a victory.
Manny Pacquiao,I could see he was having problems taking my punches. I had no problem taking his.
Manny Pacquiao,"Last fight there were a lot of distractions in my mind, ... (Now) there are no distractions. I'm just worried about my opponent. I'm very focused on my training right now."
Manny Pacquiao,"Maybe Manny can take Espinosa for his roadwork or as an adviser. As we all know, Manny shows no mercy even with his sparring partners"
Manny Pacquiao,I know everyone in the Philippines is happy.
Manny Pacquiao,"It was an experience I will never forget in my life,"
Manny Pacquiao,"I think I had him sometime in the eighth round. I knew the body punches were wearing him down, and I knew that if I could keep landing them, I'd probably get him."
Manny Pacquiao,I saw I hurt him every time I hit him in the body.
Manny Pacquiao,"In the sixth round I knew he was getting tired when I hit him with one punch to the body. But I had to take my time with him because he's a great boxer, too. In the 10th, I tried to knock him out."
Manny Pacquiao,"I would only spend a week or two in the Philippines, most probably the week during my birthday because I am planning to give away Christmas gifts to the poor people of General Santos just like what I did last year,"
Clementine Paddleford,"A tiny radish of passionate scarlet, tipped modestly in white."
Clementine Paddleford,"Never grow a wishbone, daughter, where you backbone ought to be."
Clementine Paddleford,"Beer is the Danish national drink, and the Danish national weakness is another beer."
Jose Padilla,"At stake in this case is nothing less than the essence of a free society,"
Jose Padilla,I think public safety would be endangered.
Jose Padilla,"represents a continuing, present and grave danger to the national security of the United States."
Jose Padilla,is confirmation that the Constitution is alive and well and kicking.
Jose Padilla,"I think it's another delaying action,"
David Page,"Hopefully, we are around the bottom. Sales are still soft and are likely to stay this way even though there is a bit of a recovery in sales volumes."
David Page,We fully anticipate that rates will remain on hold for the rest of this year.
David Page,It looks like 2006 saw the housing market in the rude health it ended last year and the market could continue to accelerate in the coming months. That's something the Bank of England will keep its eye on.
David Page,The MPC is keen to assess pay deals after the New Year and consumer spending over the Christmas period. Only then will it be willing to think about further rate cuts.
Jimmy Page,"We went in and recorded exactly where we were at that point in time. I think because of the quality of musicianship of the band has given it the longevity. I thought the music would endure, I didn't think I would.. I always thought I'd be dead by 30 then dead by 40 and on and on. Now I'm 55 so I didn't even die at 50."
Jimmy Page,"I think when you're faced with a plight that's inescapable, and there's something you can do about it, you hope you can make a difference."
Jimmy Page,"This gives me a lot of confidence in myself. I'm excited, and I can't wait for the years to come."
Jimmy Page,"Almost the moment he died, they put him in Playboy as one of the greatest drummers, which he was - there's no doubt about it. There's never been anybody since. He's one of the greatest drummers that ever lived."
Jimmy Page,"I always felt if we were going in to do an album, there should already be a lot of structure already made up so we could get on with that and see what else happened."
Jimmy Page,"My vocation is more in composition really than anything else - building up harmonies using the guitar, orchestrating the guitar like an army, a guitar army."
Jimmy Page,"I may not believe in myself, but I believe in what I'm doing."
Jimmy Page,"I think it was that we were really seasoned musicians. We had serious roots that spanned different cultures, obviously the blues."
Jimmy Page,I always believed in the music we did and that's why it was uncompromising.
Jimmy Page,I don't think the critics could understand what we were doing.
Jimmy Page,"But to put out a greatest hits on one CD was totally impossible, I just couldn't do it. The best compromise was to put out two CDs - Early Days - which is what it is - and Latter Days."
Larry Page,"There's lots of technology you can use to deal with those issues. There might be an adult section, or something like that. I don't think that is going to be a big issue."
Larry Page,We are targeting innovation. We believe mobile applications are essential.
Larry Page,"Many companies have suffered from unreasonable speculation, small initial share float, and boom-bust cycles that hurt them and their investors in the long run. We believe that an auction-based IPO will minimize these problems."
Larry Page,"We have a mantra: don't be evil, which is to do the best things we know how for our users, for our customers, for everyone. So I think if we were known for that, it would be a wonderful thing."
Larry Page,You don't need to have a 100-person company to develop that idea.
Larry Page,"Our company relies on having the trust of our users and using that information for that benefit. That's a very strong motivation for us. We're committed to that. If you start to mandate how products are designed, I think that's a really bad path to follow. I think instead we should have laws that protect the privacy of data, for example, from government requests and other kinds of requests."
Larry Page,This amendment would actually grant one company an unregulated monopoly.
Larry Page,The ultimate search engine... would understand exactly what you mean and give back exactly what you want.
Larry Page,"The Star Trek computer doesn't seem that interesting. They ask it random questions, it thinks for a while. I think we can do better than that."
Larry Page,"If you can run the company a bit more collaboratively, you get a better result, because you have more bandwidth and checking and balancing going on."
Larry Page,"We don't have as many managers as we should, but we would rather have too few than too many."
Larry Page,"The ultimate search engine would basically understand everything in the world, and it would always give you the right thing. And we're a long, long ways from that."
Larry Page,"Basically, our goal is to organize the world's information and to make it universally accessible and useful."
Larry Page,"It's quite complicated and sounds circular, but we've worked out a way of calculate a Web site's importance."
Larry Page,"Latin America is one of the fastest growing Internet communities in the world,"
Patti Page,Every woman wanted him to be either her son or her lover. But it was that mischievous little look on his face that I loved.
Patti Page,"I think that one of Elvis' charms was that he could sing almost any kind of music. I am sure that in his heart, which I don't know what was there, but just from his singing I could feel that he was very partial to gospel music."
Patti Page,"I always thought that Elvis could have been a great actor, and that he was put in a lot of unimportant movies when he could have done a lot of great ones."
Patti Page,"I was a kid from Oklahoma who never wanted to be a singer, but was told I could sing. And things snowballed."
Heinz Pagels,The world changed from having the determinism of a clock to having the contingency of a pinball machine.
Heinz Pagels,Science shows us what exists but not what to do about it.
Heinz Pagels,"There was emptiness more profound than the void between the stars, for which there was no here and there and before and after, and yet out of that void the entire plenum of existence sprang forth."
Heinz Pagels,I like to browse in occult bookshops if for no other reason than to refresh my commitment to science.
Heinz Pagels,"Stars are like animals in the wild. We may see the young but never the actual birth, which is a veiled and secret event."
Camille Paglia,"I don't remember the fat women. Can we leave the fat women out of this? Excuse me, I have to go to the toilet."
Camille Paglia,"A woman simply is, but a man must become. Masculinity is risky and elusive. It is achieved by a revolt from woman, and it is confirmed only by other men. Manhood coerced into sensitivity is no manhood at all."
Camille Paglia,"The more woman aims for personal identity and autonomy ... the fiercer will be her struggle with nature - that is, with the intractable physical laws of her own body. And the more nature will punish her: 'Do not dare to be free! For your body does not belong to you.'"
Camille Paglia,"The trauma of the Sixties persuaded me that my generation's egalitarianism was a sentimental error. I now see the hierarchical as both beautiful and necessary. Efficiency liberates; egalitarianism tangles, delays, blocks, deadens."
Camille Paglia,"The greatest honor that can be paid to the work of art, on its pedestal of ritual display, is to describe it with sensory completeness. We need a science of description. Criticism is ceremonial revivification."
Camille Paglia,Minerva save us from the cloying syrup of coercive compassion!
Camille Paglia,American universities are organized on the principle of the nuclear rather than the extended family. Graduate students are grimly trained to be technicians rather than connoisseurs. The old German style of universal scholarship has gone.
Camille Paglia,"Teenage boys, goaded by their surging hormones run in packs like the primal horde. They have only a brief season of exhilarating liberty between control by their mothers and control by their wives."
Camille Paglia,"Our major universities are now stuck with an army of pedestrian, toadying careerists, Fifties types who wave around Sixties banners to conceal their record of ruthless, beaver-like tunneling to the top."
Camille Paglia,The only thing that will be remembered about my enemies after they're dead is the nasty things I've said about them.
Camille Paglia,"I believe that history has shape, order, and meaning; that exceptional men, as much as economic forces, produce change; and that passe abstractions like beauty, nobility, and greatness have a shifting but continuing validity."
Camille Paglia,"All objects, all phases of culture are alive. They have voices. They speak of their history and interrelatedness. And they are all talking at once!"
Camille Paglia,If civilization had been left in female hands we would still be living in grass huts.
Camille Paglia,"A serious problem in America is the gap between academe and the mass media, which is our culture. Professors of humanities, with all their leftist fantasies, have little direct knowledge of American life and no impact whatever on public policy."
Camille Paglia,"Men know they are sexual exiles. They wander the earth seeking satisfaction, craving and despising, never content. There is nothing in that anguished motion for women to envy."
Camille Paglia,"The 1990s, after the reign of terror of academic vandalism, will be a decade of restoration: restoration of meaning, value, beauty, pleasure, and emotion to art and restoration of art to its audience."
Camille Paglia,There is no female Mozart because there is no female Jack the Ripper.
Camille Paglia,Heaven help the American-born boy with a talent for ballet.
Camille Paglia,"My generation of the Sixties, with all our great ideals, destroyed liberalism, because of our excesses."
Camille Paglia,"Though men may be deep, mentally they are slow."
Camille Paglia,"Out with stereotypes, feminism proclaims. But stereotypes are the west's stunning sexual personae, the vehicles of art's assault against nature. The moment there is imagination, there is myth."
Camille Paglia,Pursuit and seduction are the essence of sexuality. It's part of the sizzle.
Camille Paglia,Television is actually closer to reality than anything in books. The madness of TV is the madness of human life.
Camille Paglia,"It is capitalist America that produced the modern independent woman. Never in history have women had more freedom of choice in regard to dress, behavior, career, and sexual orientation."
Camille Paglia,Pornography is human imagination in tense theatrical action; its violations are a protest against the violations of our freedom by nature.
Camille Paglia,"When anything goes, it's women who lose."
Camille Paglia,"Every man must define his identity against his mother. If he does not, he just falls back into her and is swallowed up."
Camille Paglia,"Beauty is our weapon against nature; by it we make objects, giving them limit, symmetry, proportion. Beauty halts and freezes the melting flux of nature."
Marcel Pagnol,"The reason people find it so hard to be happy is that they always see the past better than it was, the present worse than it is, and the future less resolved than it will be"
Marcel Pagnol,"Honor is like a match, you can only use it once."
Marcel Pagnol,The most difficult secret for a man to keep is his own opinion of himself.
Rod Paige,"At HISD, all of our students are making tremendous progress; we are leaving no one behind. We are proving that inner-city kids, many of them from very poor households, can and will learn."
Rod Paige,"At HISD, all of our students are making tremendous progress; we are leaving no one behind, ... We are proving that inner-city kids, many of them from very poor households, can and will learn."
Rod Paige,"There are not enough police or metal detectors in the world to solve this, ... That is the point we are trying to make now. We need to deal with more relationships."
Rod Paige,"Mr. President-elect, you made education a cornerstone of your campaign. Those of us in education know you meant it when you said no child was to be left behind."
Rod Paige,We are in the middle of an education recession.
Rod Paige,"I'm still a citizen of the United States and of Texas, ... And I'm proud of the Texas record in education."
Rod Paige,I have been fortunate to devote my entire professional life to education. I meant it from the bottom of my heart when I said no child should be left behind.
Rod Paige,"We have a very diverse system and not withstanding all the debate, this package is right down the center,"
Rod Paige,I believe in parental choice.
Rod Paige,"No other president in the history of the nation has requested such strong support for our nation's school children, And the $53.1 billion is $11 billion more that what the president found when he took office just a few years ago,"
Rod Paige,Character is one of most precious parts of you. You can't get involved in things that will damage your character.
Rod Paige,"We don't need fear, we need to make sure the boys and girls who (Dr. King) wanted to be good citizens have the opportunity to be judged by their character and not the color of their skin."
Rod Paige,"It was a source of a good deal of bitterness, anger, frustration that we were not quite as worthy as others,"
Rod Paige,"All across America,"
Satchel Paige,"Ain't no man can avoid being born average, but there ain't no man got to be common."
Satchel Paige,Avoid running at all times
Satchel Paige,"Not to be cheered by praise, not to be grieved by blame, but to know thoroughly one's own virtues or powers are the characteristics of an excellent man."
Satchel Paige,Work like you don't need the money. Love like you've never been hurt. Dance like nobody's watching.
Satchel Paige,"Never be unfaithful to a lover, except with your wife."
Satchel Paige,How old would you be if you didn't know how old you were?
Satchel Paige,I don't generally like running. I believe in training by rising gently up and down from the bench.
Satchel Paige,My pitching philosophy is simple - keep the ball way from the bat.
Satchel Paige,Money and women. They're two of the strongest things in the world. The things you do for a woman you wouldn't do for anything else. Same with money.
Satchel Paige,"If your stomach disputes you, lie down and pacify it with cool thoughts."
Satchel Paige,"My feet ain't got nothing to do with my nickname, but when folks get it in their heads that a feller's got big feet, soon the feet start looking big."
Satchel Paige,You gotta keep the ball off the fat part of the bat.
Satchel Paige,"If a man can beat you, walk him."
Satchel Paige,The only change is that baseball has turned Paige from a second class citizen to a second class immortal.
Satchel Paige,"I ain't ever had a job, I just always played baseball."
Satchel Paige,"I've said it once and I'll say it a a hundred times, I'm forty-four years old."
Satchel Paige,"I was born in August, no July, 1908."
Satchel Paige,"When a batter swings and I see his knees move, I can tell just what his weaknesses are then I just put the ball where I know he can't hit it."
Satchel Paige,It's funny what a few no-hitters do for a body.
Satchel Paige,"I never threw an illegal pitch. The trouble is, once in a while I toss one that ain't never been seen by this generation."
Satchel Paige,Just take the ball and throw it where you want to. Throw strikes. Home plate don't move.
Satchel Paige,Avoid running at all times.
Satchel Paige,"I never rush myself. See, they can't start the game without me."
Satchel Paige,"Age is a case of mind over matter. If you don't mind, it don't matter."
Satchel Paige,Don't look back. Something might be gaining on you.
Satchel Paige,Don't pray when it rains if you don't pray when the sun shines.
Satchel Paige,How old would you be if you didn't know how old you are?
Thomas Paine,"A long habit of not thinking a thing wrong, gives it a superficial appearance of being right, and raises at first a formidable outcry in defense of custom. But the tumult soon subsides. Time makes more converts than reason."
Thomas Paine,"Suspicion is the companion of mean souls, and the bane of all good society"
Thomas Paine,"The summer soldier and the sunshine patriot will, in this crisis, shrink from the service of his country; but he that stands it NOW deserves the love and thanks of man and woman."
Thomas Paine,"The harder the conflict, the more glorious the triumph. What we obtain too cheaply, we esteem too lightly; 'Tis dearness only that gives everything its value."
Thomas Paine,"All the tales of miracles, with which the Old and New Testament are filled, are fit only for impostors to preach and fools to believe"
Thomas Paine,"There are two distinct classes of what are called thoughts:  those that we produce in ourselves by reflection and the act of thinking, and those that bolt into the mind of their own accord"
Thomas Paine,He that would make his own liberty secure must guard even his enemy from oppression;for if he violates this duty he establishes a precedent that will reach to himself.
Thomas Paine,"Reason and Ignorance, the opposites of each other, influence the great bulk of mankind. If either of these can be rendered sufficiently extensive in a country, the machinery of Government goes easily on. Reason obeys itself; and Ignorance submits to whatever is dictated to it."
Thomas Paine,"It is impossible to calculate the moral mischief, if I may so express it, that mental lying has produced in society. When a man has so far corrupted and prostituted the chastity of his mind as to subscribe his professional belief to things he does not believe he has prepared himself for the commission of every other crime."
Thomas Paine,It is necessary to the happiness of man that he be mentally faithful to himself. Infidelity does not consist in believing or in disbelieving; it consists in professing to believe what he does not believe.
Thomas Paine,[The Hits 1789-'97 George Washington was serenaded with new words to] God Save the King ... I don't know whether you have abandoned your old principles or whether you ever had any.
Thomas Paine,"A man does not serve God when he prays, for it is himself he is trying to serve"
Thomas Paine,"The final event to himself has been, that as he rose like a rocket, he fell like the stick."
Thomas Paine,"We fight not to enslave, but to set a country free, and to make room upon the earth for honest men to live in."
Thomas Paine,It is an affront to treat falsehood with complaisance
Thomas Paine,A thing moderately good is not so good as it ought to be. Moderation in temper is always a virtue; but moderation in principle is always a vice.
Thomas Paine,"When we are planning for posterity, we ought to remember that virtue is not hereditary."
Thomas Paine,The strength and power of despotism consists wholly in the fear of resistance.
Thomas Paine,"It is necessary to the happiness of man that he be mentally faithful to himself. Infidelity does not consist in believing, or in disbelieving, it consists in professing to believe what he does not believe."
Thomas Paine,"It is not a field of a few acres of ground, but a cause, that we are defending, and whether we defeat the enemy in one battle, or by degrees, the consequences will be the same."
Thomas Paine,"Suspicion is the companion of mean souls, and the bane of all good society."
Thomas Paine,Time makes more converts than reason.
Thomas Paine,"These are the times that try men's souls. The summer soldier and the sunshine patriot will, in this crisis, shrink from the service of their country; but he that stands it now, deserves the love and thanks of man and woman."
Thomas Paine,"Society in every state is a blessing, but government, even in its best stage, is but a necessary evil; in its worst state an intolerable one."
Thomas Paine,"But such is the irresistable nature of truth, that all it asks, and all it wants is the liberty of appearing."
Thomas Paine,"If there must be trouble, let it be in my day, that my child may have peace."
Thomas Paine,Reason obeys itself; and ignorance submits to whatever is dictated to it.
Thomas Paine,"He that would make his own liberty secure, must guard even his enemy from opposition; for if he violates this duty he establishes a precedent that will reach himself."
Thomas Paine,Every science has for its basis a system of principles as fixed and unalterable as those by which the universe is regulated and governed. Man cannot make principles; he can only discover them.
Thomas Paine,"To say that any people are not fit for freedom, is to make poverty their choice, and to say they had rather be loaded with taxes than not."
Thomas Paine,The Vatican is a dagger in the heart of Italy.
Thomas Paine,Belief in a cruel God makes a cruel man.
Thomas Paine,"Arms discourage and keep the invader and plunderer in awe, and preserve order in the world as well as property... Horrid mischief would ensue were the law-abiding deprived of the use of them."
Thomas Paine,These are the times that try men's souls.
Thomas Paine,"What we obtain too cheap, we esteem to lightly."
Thomas Paine,"Virtues are acquired through endeavor, Which rests wholly upon yourself. So, to praise others for their virtues Can but encourage one's own efforts."
