author,quote
Sun Ra,What I'm dealing with is so vast and great that it can't be called the truth. It's above the truth.
Sun Ra,Today's symphonic music is sponsored by the upper structures of society.
Sun Ra,"The world is in such a bad condition that if they don't find what you call a redeemer, every man, woman and child on this planet will be eliminated."
Sun Ra,"People have set that up as a standard, not to recognize a prophet in his own country."
Sun Ra,"Not too many people in America know about me, but all of Europe knows about me."
Sun Ra,"Music is a language, you see, a universal language."
Sun Ra,I'm playing dark history. It's beyond black. I'm dealing with the dark things of the cosmos.
Sun Ra,I use music as a medium to talk to people.
Sun Ra,I see people as they really are from a pure point of view.
Sun Ra,"I am a musician, but I'm another type of musician."
Sun Ra,"But recently I began to feel that maybe I wouldn't be able to do what I want to do and need to do with American musicians, who are imprisoned behind these bars; music's got these bars and measures you know."
Sun Ra,"Bach and Beethoven, all of them, they had to write something to please the upper structure, those with money and power."
Sun Ra,"And then when I went to Chicago, that's when I had these outer space experiences and went to the other planets."
Sun Ra,All these other nations seem to appreciate what I'm doing and they want me to play the furthest out things.
Sun Ra,"A world is in danger, this planet is in great danger!"
Sun Ra,A prophet is not without honor except in his own country among his own people.
Francois Rabelais,I know of a charm by way of a prayer that will preserve a man from the violence of guns and all manner of fire-weapons and engines but it will do me no good because I do not believe it
Francois Rabelais,"The Devil was sick - the Devil a monk would be, The Devil was well the devil a monk was he"
Francois Rabelais,Tell the truth and shame the devil.
Francois Rabelais,Debts and lies are generally mixed together
Francois Rabelais,"He 63 ways of getting money, the most common, most honorable ones being staling, thieving, and robbing."
Jean Racine,A single word often betrays a great design.
Jean Racine,The feeling of mistrust is always the last which a great mind acquires
Jean Racine,"None love, but they who wish to love"
Jean Racine,But without money honor is nothing but a malady
Jean Racine,"The heart that can no longer love passionately, must with fury hate"
Jean Racine,"Oh, I have loved him too much to feel no hate for him"
Jean Racine,My only hope lies in my despair.
Jean Racine,Small crimes always precedes great ones.
Jean Racine,A benefit cited by way of reproach is equivalent to an injury
Jean Racine,Thank the Gods! My misery exceeds all my hopes!
Daniel Radcliffe,Harry Potter and the Goblet of Fire.
Daniel Radcliffe,"I'm getting better now, but I used to be incredibly awkward with girls. I think any guy who says 'I've never had an awkward moment with a girl' is a liar."
Daniel Radcliffe,There's never enough time to do nothing!
Daniel Radcliffe,"Fans are really important for me. And if they take pains to write me, it's the minimum that I answer myself."
Daniel Radcliffe,"I'm thrilled of the acceptance I get abroad. The people are so hearty, warm and grateful and I feel privileged having seen so many countries and some of the greatest monuments."
Daniel Radcliffe,"He suffers from the same frailties and hormonal-related problems as all sorts of people his age, but he's also going through this massive thing of almost paranoia, where someone's trying to get at him, trying to destroy his life, but he doesn't know who. Some invisible force is trying to tamper with his life in some way."
Daniel Radcliffe,"As you grow up, you realize from the age of 14 or so, you grow extra emotions somehow, and I think Harry is at the point where he's at the mercy of all these emotions,"
Paula Radcliffe,It went really well and should give me no more trouble. It just had to be removed as it would never have settled on its own. Now I have just had to tolerate a few days with my foot up.
Paula Radcliffe,"I thought I was in good 10k shape, but the weather was against front-running. It was just too windy, ... My legs feel OK, I just did not have the pace at the end in the last 1,000 meters."
Paula Radcliffe,"I knew I was running a good pace, so I just had to keep it up until the end,"
Paula Radcliffe,"I'm pleased to have won the race and win the championship, ... I knew I was well-prepared for this race."
Paula Radcliffe,"I'm just pleased to win the race and win the championship because that's what I came here for. And it was important to do that, not just for me, but for everyone else that supported me as well."
Paula Radcliffe,"I executed my race plan. It worked really well. I knew that, if I went out hard, then everyone would have to work really hard to stay with that."
Paula Radcliffe,"I got a hard run, and that's what I wanted. I just didn't have the pace to stay with them."
Paula Radcliffe,It's totally different from last year because I came in with good shape with no health worries so it was about going out there and running well and enjoying it.
Gilda Radner,"While we have the gift of life, it seems to me the only tragedy is to allow part of us to die -- whether it is our spirit, our creativity or our glorious uniqueness"
Gilda Radner,"I wanted a perfect ending, now I've learned, the hard way, that some poems don't rhyme, and some stories don't have a clear beginning, middle and end. Life is about not knowing, having to change, taking the moment and making the best of it, without knowing what's going to happen next. Delicious amiguity."
Gilda Radner,I base my fashion taste on what doesn't itch
Gilda Radner,I base most of my fashion taste on what doesn't itch.
Gilda Radner,"Dreams are like paper, they tear so easily"
Gilda Radner,"I can always be distracted by love, but eventually I get horny for my creativity."
Gilda Radner,Comedy is very controlling - you are making people laugh. It is there in the phrase 'making people laugh.' You feel completely in control when you hear a wave of laughter coming back at you that you have caused.
Marla Rae,"In Oregon, our police and firefighters are using communications equipment that dates back 30-plus years."
Marla Rae,"And then with the Pacific States (Marine Fisheries Commission), to look to the appropriate amendments to federal law. Knowing that it takes an act of Congress rather than an act of the commission."
Marla Rae,We would have no regulatory authority over anything other than native wildlife. This would throw our whole wildlife-integrity plan into chaos.
Akbar Rafsanjani,We want to assure you (the Gulf region) that we are at the service of the whole region.
Akbar Rafsanjani,It is not possible to wrongly accuse such a nation (Iran) ... and then send its dossier to the security council and drag the region step by step towards a critical situation.
Akbar Rafsanjani,They want to deprive Islamic nations of having nuclear energy knowledge and always keep them backwards.
Akbar Rafsanjani,"We are not seeking a confrontation but, if it is imposed on us, we are prepared for it. The consequences of such an attack will be very grave and they [the Americans] will not benefit from it."
Akbar Rafsanjani,America and other countries want to issue a resolution taking advantage of Chapter Seven. Could they achieve this? It is doubtful.
Akbar Rafsanjani,"We do not discount the possibility of US aggression under any circumstance; we stress at the same time that it would not be in the interest of the United States, nor us."
Bobby Rahal,Then I was just trying to make my way back up. I got Andretti going into three. I got a good run on him and just passed him. Then I caught Pablo and snuck by him on the backstraightaway.
Bobby Rahal,"I don't think they want to admit that her draw is helping them, but it's the truth. Everyone from sponsors to teams to the IRL is benefiting from her. She's having the Tiger effect on TV ratings."
Bobby Rahal,"I came up here for my first Formula Atlantic race in October of 1974 and watched that car win the race, and I thought, 'Man, there is nothing better than that,' ... I dreamed that when I got to Formula One I could drive a car like that."
Bobby Rahal,You have 20-22 really strong cars and the quality of the drivers is awfully good.
Bobby Rahal,I was working hard to stay ahead of Hamish. It is a real pleasure to see these cars run in anger.
Bobby Rahal,"Logicalis has helped us manage our IT resources proactively for optimum performance over the last three years. Technology is central to the success of any racing organization, and Logicalis has been a critical partner is helping Rahal Letterman Racing continue to be a championship team. We are looking forward to the next three years with Logicalis."
Bobby Rahal,"I told them (the other drivers) I admired them and appreciated them because they're out racing these cars for people to see. These (cars) aren't hangar queens. They (the racers) are very selfless about sharing their love for these cars with everybody here. You could tell from the reception, with cars in the paddock area, that a lot of these fans here are excited to see these cars again."
Bobby Rahal,"I told them (the other drivers) I admired them and appreciated them because they're out racing these cars for people to see, ... These (cars) aren't hangar queens. They (the racers) are very selfless about sharing their love for these cars with everybody here. You could tell from the reception, with cars in the paddock area, that a lot of these fans here are excited to see these cars again."
Bobby Rahal,"Jeff is a driver that I think has a great deal of potential and a very bright future. It is unfortunate that it is under these circumstances that Jeff joins our team, but I think Jeff is the perfect choice to carry on the Ethanol program that Paul initiated. Jeff has paid his dues and worked his way up through the ladder system. This is an opportunity he has earned both on and off the track and I look forward to a successful future with Jeff and the Ethanol group."
Bobby Rahal,"If you are at all romantic about racing, it is so much fun to drive these cars and to really appreciate what they were like in a great era of Formula One,"
Bobby Rahal,"You don't have to worry about whether the car is set up right or not, you know it is, and it's down to you. Ultimately, that's what every driver wants."
Bobby Rahal,"What's really hit me over the years is that you go to every race and see all the well-wishers, and you really feel like you are connected with people after all these years."
Bobby Rahal,We tried to create advantages. We were never complacent.
Bobby Rahal,"We ran three cars last year. Unfortunately, as time went on, we did have to let a few people go, which we regretted, but just because of the situation."
Bobby Rahal,"Today, the competition is considerably more intense."
Bobby Rahal,There's a tremendous number of the Daytona Prototypes.
Bobby Rahal,The place where I had so much success as a driver would be where I had my first win as a team owner.
Bobby Rahal,The fans know that I have been giving it my all and that we had the good judgment to when to say when.
Bobby Rahal,Obviously it's critical that the three cars are able to contribute to the program. I think that certainly has given much of the reason as to why we did so well at Indy over the last several years.
Bobby Rahal,My son is racing his first 24-hour this year with Porsche.
Bobby Rahal,"In racing, I wanted to be a winner and to be a winner, you have to be willing to roll the dice."
Bobby Rahal,"In 1982 when I showed up, the average age of the drivers in the series was something like 40, 41. The crowds were small. There was not much prize money. The competition wasn't very tight."
Bobby Rahal,"If you look at Andretti Green, perhaps ourselves over the last several years, I think having more than two cars is an advantage."
Bobby Rahal,I'd seen people overstay their welcome and I didn't want that to happen at all.
Bobby Rahal,"I'd rather try and fail than not try at all, as they say."
Bobby Rahal,I have never had problems sleeping the night before a race.
Bobby Rahal,"I guess it is the sense of personal satisfaction that racing gives you that I am probably going to miss, because in racing you get that feedback very quickly."
Bobby Rahal,I don't want people to remember me going through the motions.
Bobby Rahal,I am going to miss that time when you take that corner better than anybody else could have taken it on that lap or you do that great qualifying lap or you make that great pass or you bring a crippled car home.
Bobby Rahal,Competitiveness has been a big thing for me.
Bobby Rahal,Being injured is something that happens in this sport. Anybody who gets into it understands that.
Bobby Rahal,"As anybody will tell you that's ever driven one of those races, so many things can happen. Just staying out of everyone's way is half the battle."
Daron Rahlves,This is hard to swallow. It's not the way I wanted it to end. If you win a gold medal at the Olympics it doesn't matter what else you've done. I definitely wanted to walk away from here on top.
Daron Rahlves,"The way I was skiing downhill, I was on the podium in three events. But the super-G, it's the one event I just haven't had the confidence in like the downhill and giant slalom. I had the wrong thoughts in my head. I just wasn't super confident getting into the starting gate."
Daron Rahlves,"The way I was skiing downhill this year, I was on the podium in three events, but with super-G, it's the one event I just haven't had the confidence in like in the downhill and giant slalom. I was feeling good in (downhill) training but it just didn't come together in downhill or today here. I just shake my head at the way I was skiing. I needed to be clean and smooth and I just wasn't doing that."
Hasim Rahman,"He underestimates my power. My power is a big factor and will set the tone for this fight. Once he gets hit with it, I'm not so sure what adjustments he can make."
Hasim Rahman,I'm turning the corner. I'm putting in hard work. I will not be denied. I'm just waiting to be sworn in as the next heavyweight champion.
Hasim Rahman,"[At the announcement, Rahman came to the podium wearing a chef's hat and holding a tray of food.] I just had some chicken Kiev prepared for him, because I am so happy he's not chicken anymore, ... We're finally getting in the ring. I'm glad he's all healed up. I just hope and pray he doesn't stub his toe or prick his finger before November 12th."
Hasim Rahman,"This is like fighting a bully. When you stand up and fight back like you're not scared, the air goes right out of them. He'll be scared of me."
Hasim Rahman,"He showed tremendous heart in his fight with Lennox Lewis, and he did show desire, ... He proved he was a champion. I really respect this man. I really feel like he can hurt me if I come with any less than my A-plus game."
