author,quote
Mikhail Saakashvili,It means ... (we have) somebody at the table who could basically convince ... Russia that peace-making pays off ... we are working closely with the Americans on our peace plan and with the Russians on our peace plan.
Mikhail Saakashvili,"Understandably, no peace can sustained when people continue to suffer from hunger, lack of jobs, lack of basic public services - and most of all - lack of opportunity or hope."
Mikhail Saakashvili,"In any case there was no danger whatsoever for the presidents,"
Mikhail Saakashvili,He understood the shortcoming which we had. He understood we had corruption.
Mikhail Saakashvili,Our place is in European civilization.
Mikhail Saakashvili,"Today is the greatest day in the history of Georgia -- this is the day of our dignity, the birth of a new Georgia."
Mikhail Saakashvili,the army switched sides.
Mikhail Saakashvili,you've got a solid friend in America.
Nick Saban,"I'm not going to comment on and worry about who the starter is and when the starter is [being named]. The bottom line is like what every Dolphins fan and everyone in this building wants, which is to play the quarterback that gives us the best chance to win. That's what we're trying to do and work toward."
Nick Saban,"If we just didn't do that kind of stuff, we wouldn't have to worry about it."
Nick Saban,"I am not going to comment on and worry about who or when the starter is (going to be named) because the bottom line is, like every Dolphins fan, everybody that I know and everybody that works in this building, wants to play the quarterback that is going to give us the best opportunity to win. That is what we are going to try to do and work toward."
Nick Saban,I think he got enough work in the preseason to be ready for the first game. We did the best we could under the circumstances. We'll continue to try to develop him in the beginning of the season.
Nick Saban,It doesn't mean that just because we work somebody out that we have an issue. That is not something that anybody should assume. There are things called information gathering and we are allowed to use workouts of players who are not under contract to gather information about those players.
Nick Saban,"It was great that Ronnie Brown got untracked a little bit. We told him we were going to work him today. As the game wore on, it looked like he got a little better. Maybe that'll be a sign for us in the future."
Nick Saban,"There are a lot of questions about the offensive line, and we're going to continue to work some different players in different spots to get the best combination of what we can do,"
Nick Saban,"Just like in Scent of a Woman , you know, when the guy is up there and Al Pacino gives the speech to the headmaster -- give him a chance."
Nick Saban,"Understanding how important slotting is to top draft picks in terms of who got what . . . and how they fall into place, this is really a timing issue,"
Nick Saban,"Gus has a good understanding of the offense, he's very knowledgeable. And I think (he) can manage the game the best with a pretty young offensive team right now. . . . We weren't displeased with the job any of the quarterbacks did, but we felt that Gus would give us the best opportunity to be successful."
Nick Saban,"Gus has a good understanding of the offence. He's very knowledgeable, and we felt he would give us the best opportunity to be successful and develop this offensive team."
Nick Saban,"Gus has a good understanding of the offense. He's very knowledgeable, and we felt he would give us the best opportunity to be successful and develop this offensive team."
Nick Saban,I think every guy's different when it comes to that. Some guys are very instinctive and very understanding and therefore don't need to see it on the field as much.
Nick Saban,We're trying to get a deal that would satisfy him as well as work for us.
Nick Saban,"We have a sense of urgency about trying to get him ready, but we're not going to rush him and put him in a position where it's not going to be something he can have success at."
Nick Saban,"He did a fantastic job, especially at the end of the game. That's the toughest it ever gets. They're trying to take the air out of him. They're putting them all out there to stop you. He broke two runs that were as big as any in the game."
Nick Saban,"But what does it really mean? ... What are you trying to get from it? Basically, what you're trying to do is push people to a limit, not [to] ever harm them in any way, and get them to manage the 'bottom half,' the hard part of it that we all have to deal with in our life."
Nick Saban,I think he has the arm talent to do it. He can do it.
Nick Saban,"We have to do it, have success doing it, and then do it again,"
Nick Saban,"This was probably Ricky's best overall game out there, in terms of him having some space to work in, not only as a runner, but a couple of times as a receiver as well."
Nick Saban,"We were recruiting a player who had a coach from another school using the NFL as a negative about our program, ... The player said to him -- and I'm not making this up -- 'If the coach of your school is so good, why aren't they trying to hire him in the NFL?'"
Nick Saban,We have voids at linebacker and safety. We could use a more few defensive linemen.
Nick Saban,"He did some straight-line running (Monday). He threw the ball some. He took some easy drops. So it's not like this guy is not at a point where he can't start doing some things. Now, I didn't see all that. I'm just going on what the trainer and the people doing the rehab with him did. But he was there early and stayed late and worked hard. We were pleased with what he did."
Nick Saban,"We want to support every player, and I think every player knows he has a responsibility for what to do and what not to do. As a coach, I also feel a responsibility to put a player in the best situation possible so he can have success."
Nick Saban,"We all have a professional responsibility as clubs to live by the confidentiality rules, which are designed to protect players. However the information got out, I hope those people will take that responsibility and let us make any necessary changes. ... I'm going to be proactive in that effort."
Nick Saban,"The responsibility (Belichick) gave me with the Browns, well, I wouldn't be able to do what I do now if I hadn't had that kind of responsibility,"
Nick Saban,"We've obviously started our research in terms of what the options are going to be for us. One of the goals that we have is to develop the players we have so somebody can be a starter for our organization in the future, or to bring somebody to the organization that has the potential to be a future starter relative to our situation."
Nick Saban,There's a twofold purpose. Not just for bad weather but sometimes helping players recover.
Nick Saban,We just want to continue to be able to let them develop and progress. We're not disappointed in anybody. We're actually encouraged by our ability to throw the ball with consistency in the game by all the quarterbacks.
Nick Saban,Maybe we can create some problems and issues for teams by doing that.
Nick Saban,"At this point, I'm not ready to say that changing quarterbacks is going to solve all our problems, so that's where it's at."
Nick Saban,"If you don't have an indoor facility, you've got to cut down the practice time in preparation for the game so the players can recover. Or you change the environment they do the work in, which an indoor facility allows you to do. It's really a player health and safety issue as much as anything."
Nick Saban,"He did well, actually better than I thought he would. We did not want him to go the whole practice because we didn't want him to get in an overuse situation where he might fatigue that particular injury and have additional problems."
Nick Saban,"I would stop short of saying that Ronnie was 100 percent, but he did do everything in practice. Those decisions will be made on a day-to-day basis."
Nick Saban,"Nobody in this room, with all of our power and might put together, can have anything to do with where it goes. What we can try to do is have something to do with preparing for the game and doing our job well and having pride in the performance of what we have to do."
Nick Saban,There may be 25 players out there we feel are potential guys that would be first-round picks regardless of where we pick. We have to bring to some kind of organizational order to who brings the most value to us. That's something that's a work in progress.
Nick Saban,"While we do this, from a player's perspective it would be advantageous if we got fan support."
Nick Saban,There are times when we are getting an outstanding performance from the running back. There are times when we are getting a hat on a hat to finish a block. We just have to do it more consistently. ... It's just a matter of execution on a more consistent basis from the entire unit.
Nick Saban,"The Pac-10 obviously did pretty well against the SEC this past week, ... Our players need to be aware of that and know that our league is nationally-known and when we go play places people are anxious to play us."
