author,quote
Gladys Taber,Almost all words do have color and nothing is more pleasant than to utter a pink word and see someone's eyes light up and know it is a pink word for him or her too
Gladys Taber,My own recipe for world peace is a little bit of land for everyone
Gladys Taber,"But in this season it is well to reassert that the hope of mankind rest in faith. As man thinketh, so he is. Nothing much happens unless you believe in it, And believing there is hope for the world Is a way to move toward it."
Publius Tacitus,"One who is allowed to sin, sins less"
Publius Tacitus,It is less difficult to bear misfortunes than to remain uncorrupted by pleasure.
Publius Tacitus,"The Romans brought devestation, but they called it peace."
Publius Tacitus,"They (the Romans) make a desert, and they call it peace"
Publius Tacitus,They made a wasteland and called it peace
Publius Tacitus,They make a wilderness and call it peace.
Publius Tacitus,Posterity will pay everyone their due.
Publius Tacitus,Things are not to be judged good or bad merely because the public think so.
Publius Tacitus,"The more corrupt the state, the more laws."
Publius Tacitus,Lust of power is the most flagrant of all the passions
Publius Tacitus,The hatred of those who are near to us is the most violent
Publius Tacitus,Seek to make a person blush for their guilt rather than shed their blood.
Publius Tacitus,Even the bravest men are frightened by sudden terrors.
Publius Tacitus,The love of fame is the last weakness which even the wise resign.
Publius Tacitus,In seasons of tumult and discord bad men have the most power; mental and moral excellence require peace and quietness.
Publius Tacitus,Truth is confirmed by inspection and delay; falsehood by haste and uncertainty.
Publius Tacitus,In all things there is a law of cycles.
Publius Tacitus,"If we must fall, we should boldly meet the danger."
Publius Tacitus,The brave and bold persist even against fortune; the timid and cowardly rush to despair though fear alone.
Publius Tacitus,"In a state where corruption abounds, laws must be very numerous."
Publius Tacitus,The illicit has an added charm
Publius Tacitus,Forbidden things have a secret charm
Publius Tacitus,"Be assured those will be thy worst enemies, not to whom thou hast done evil, but who have done evil to thee. And those will be thy best friends, not to whom thou hast done good, but who have done good to thee."
Publius Tacitus,"Fear is not in the habit of speaking truth; when perfect sincerity is expected, perfect freedom must be allowed; nor has anyone who is apt to be angry when he hears the truth any cause to wonder that he does not hear it."
Publius Tacitus,Victor and vanquished never unite in substantial agreement.
Publius Tacitus,"Many who seem to be struggling with adversity are happy; many, amid great affluence, are utterly miserable."
Publius Tacitus,No one would have doubted his ability to reign had he never been emperor.
Joseph Tacopina,I am not going to try this case on motion papers. We have things our defense will be pegged on that will come out before the jury.
