author,quote
Peter Ueberroth,"We don't have a completely level playing field, in our understanding, from the I.O.C.. We are confident that we will get there, but we are not there."
Peter Ueberroth,I think that Bob represents a big jump forward in talent.
Peter Ueberroth,"You can't just have a city step up and show their skills, and not get full support from the state, not get full support from the private sector, not get full support from the federal government, ... It's really a joint bid."
Peter Ueberroth,"The rules have changed, ... The old thing of 'getting in line,' that's gone."
Peter Ueberroth,"We're telling , 'Don't spend money. Don't get logos. Don't hire consultants,' ... and we'll then take them up the chain of command and see if they know and understand what has to be done."
Peter Ueberroth,"It's not, 'We have a city to bid, now let's go check in with the federal government,'"
Peter Ueberroth,"The USOC is dedicated to see to it that women's softball does not miss its turn in 2012. We're hopeful and, in a humble way, hope to try and influence people to reconsider a decision that was a bad decision to eliminate a women's sport."
Peter Ueberroth,"The state is out of control, the state is on a spending binge, the state has to stop putting itself in a hole that's getting deeper and deeper and deeper,"
Peter Ueberroth,"If elected, I would impose stiff spending caps to rein in the out-of-control spending."
Peter Ueberroth,"The state is out of control, the state is on a spending binge, the state has to stop putting itself in a hole that's getting deeper and deeper and deeper."
Peter Ueberroth,The international game has changed for bidding cities.
Peter Ueberroth,"It's not, 'We have a city to bid, now let's go check in with the federal government'."
Peter Ueberroth,This is America's Team and we are confident this outstanding group of athletes will make our country proud.
Peter Ueberroth,The integrity of the game is everything.
Peter Ueberroth,Other sports play once a week but this sport is with us every day.
Peter Ueberroth,"Baseball is a public trust. Players turn over, owners turn over and certain commissioners turn over. But baseball goes on."
Bob Uecker,"He's what, 38 years old? But he's still there, man. He's still got that same swing. He's got pop. You make a mistake on that guy, he's going to stink you. I mean, he's going to hurt you."
Bob Uecker,I signed with the Milwaukee Braves for three-thousand dollars. That bothered my dad at the time because he didn't have that kind of dough. But he eventually scraped it up.
Bob Uecker,I didn't get a lot of awards as a player. But they did have a Bob Uecker Day Off for me once in Philly.
Bob Uecker,"Let's face it. Umpiring is not an easy or happy way to make a living. In the abuse they suffer, and the pay they get for it, you see an imbalance that can only be explained by their need to stay close to a game they can't resist."
