author,quote
David Wade,"Their first instinct should be to answer questions about our security rather than launch a public relations offensive, and when that fails do what they should've done from day one,"
David Wade,need to answer to the American people for their craven tactics that degrade our democracy.
David Wade,"John Kerry has fought for middle-class tax relief and has proposed new middle-class tax cuts in this campaign,"
Dwyane Wade,"That's why we go through preseason, for guys to get it in their heads, `You've got to trust other guys,' even though all of us feel we have the ability to take over the game,"
Dwyane Wade,"It's all a win-now philosophy. We've got some old guys on this team. Gary (Payton) ain't got five, six more years left. Shaq ain't got five, six more years left. That is the reason the trade was made. We'd be kidding ourselves if we thought the trade was for us to grow together for the next three years. No, it's not. We understand that."
Dwyane Wade,"No matter what, it's going to be sore. It's just a matter of how much pain you can take. I think I'll be fine."
Dwyane Wade,"Maybe I got hurt for a reason - to bring these guys here and we all celebrate together over on Biscayne Bay one day,"
Dwyane Wade,"He has been playing the game at a high level lately, playing like an All-Star."
Dwyane Wade,It's not one guy sticking me the whole game where we're both getting tired.
Dwyane Wade,"Having him back there as a force willed us to victory on the defensive end. We're lucky to have him, especially with Shaq being in foul trouble. We're lucky to have the best backup center in the league."
Dwyane Wade,"Y'all might have made him mad. I think y'all lit a fire under him, so that's good."
Dwyane Wade,"He wasn't missing and he was looking good. He had that confident look. His eyes were real big and when that happens, you know he's confident."
Dwyane Wade,It's just a sprained ankle that's sore. It just happened so it's a quick turnaround. The doctors and trainers didn't want me to test it. A day to get it better tomorrow and we'll see.
Dwyane Wade,The Dallas game was a disaster. But you know what? Sometimes you need games like that to wake yourself up and look yourself in the mirror. It was three bounce-back games for us.
Dwyane Wade,This was a good one for me as far as my consistency goes because that's a good team that doesn't beat itself. It was just a matter of pulling the trigger and making my shots.
Dwyane Wade,Our defense is coming along. We're getting our rotations down. The communication is better. The main this is we're all beginning to understand what everyone is doing.
Dwyane Wade,"Third preseason game, and coach looked like he coached the end of the season, ... Guys are putting their heads down already."
Dwyane Wade,"Third preseason game, and coach looked like he coached the end of the season. Guys are putting their heads down already."
Dwyane Wade,"I didn't have my athletic ability tonight the way I would have liked to have it. But I was able to make the plays I had to make with a couple blocked shots and a couple steals. I would have liked to have more athletic ability tonight, but I did what I had to do."
Dwyane Wade,I didn't have my athletic ability tonight.
John Wade,"Go to any team. If you're not hurt, you probably haven't been playing."
John Wade,That's bigger that the bailout of the airlines following 9-11. The government is heavily in this project.
John Wade,"It's frustrating, ... If I get desperate, I'll call my friends at CSU and DU. It's not the worst thing, but it is a minus."
John Wade,"To have an experience like this, it's unbelievable. I never dreamed of doing something like this."
John Wade,"I'm not sure that temporary discipline is what some of these kids need. I think more of a prolonged approach would be best. Their tenure over there is very temporary, and I haven't seen any evidence that when they go back they are behaving any better."
