author,quote
Liu Xiang,"I majored in hurdle, so I am happy to bring the silver home with my teammates. They did a really good job. I should thank the audience who gave me enormous support tonight."
Liu Xiang,"Holding the Olympics in Beijing will be a major event that will remain in Chinese history, ... It will be an excellent opportunity for China to demonstrate the rapid development it has made. As athletes, we will be called upon to produce good results for our home country."
Liu Xiang,I have been used to that. It happened frequently. It is normal to have the Olympic champion tested.
Paul Xiradis,"New Zealand is a real problem and the quality of the result has been brought under question,"
Paul Xiradis,"The outlook for the banks has improved substantially in the past six months. Housing lending has held up better than expected and business lending has been very, very strong."
Paul Xiradis,Commodities are still looking strong and brokers continue to upgrade their numbers. It presents an opportunity to buy.
Paul Xiradis,"The competition in New Zealand is very, very intense, so we've seen a fair bit of margin compression and also the quality of its book in New Zealand has actually deteriorated as well."
Paul Xiradis,"It's an extremely profitable business model. They have carved out a very good niche, being among the first to identify infrastructure investments such as toll roads."
Louis XIV,I could sooner reconcile all Europe than two women
Louis XIV,Has God forgotten all I have done for Him.
Louis XIV,"Every time I appoint someone to a vacant position, I make a hundred unhappy and one ungrateful."
Louis XIV,Laws are the sovereigns of sovereigns.
Louis XIV,First feelings are always the most natural.
Louis XIV,There is little that can withstand a man who can conquer himself.
Louis XIV,Everything starts with the customer.
Louis XIV,It is legal because I wish it.
Andrew Yang,I don't think that there is going to be serious impact to trade between Taiwan and China. It's not in China's best interest to cut off trade.
Andrew Yang,"Because if China decided to use force it is not only exercises, it is not bluffing, it is not intimidation. It is a decision to use force to damage Taiwan, and make Taiwan to come to the negotiating table with China."
Andrew Yang,"This one is more dangerous than the 1996 missile crisis,"
Jerry Yang,"The biggest struggle was probably giving up something that we'd been doing for five or six years, doing our Ph.D.s and almost being there."
Jerry Yang,"The biggest struggle was probably giving up something that we'd been doing for five or six years, doing our Ph.D.s and almost being there,"
Jerry Yang,"The 'Field of Dreams' Internet--where the assumption was 'If you build it, they will come'--is no longer a reality. Content sites can no longer grow organically, and I give only six more months for most new electronic commerce sites."
Jerry Yang,China is a key market for any Internet company. We think (the deal) will allow us to grow from a strong position to a dominant one.
Jerry Yang,"We have always had a long-term commitment to China and even more so to the development of its Internet industry, We're confident that Yahoo! is putting its resources behind the right management team, which operates according to similar values as we do, and shares the same vision for providing the most essential and relevant services to consumers and businesses."
Al Yankovic,What kind of morons do you have working at newspapers in Austin that would base an entire review of an artist's performance on whether or not they had a good seat?
Al Yankovic,"I'm still a geek on the inside, that's the important thing."
Al Yankovic,"I don't really look at myself as the kind of person who craves attention, but I've never been to therapy so there's probably a lot of stuff about myself that I don't know."
Al Yankovic,"At this point I've got a bit of a track record. So people realize that when 'Weird Al' wants to go parody, it's not meant to make them look bad... it's meant to be a tribute."
Cale Yarborough,"If they hadn't been there, we'd probably still be fighting,"
Cale Yarborough,"If he'd just crowded me down to the side of the asphalt, I'd have been OK. But when he ran me completely off the racetrack, I lost it."
Cale Yarborough,I think it turned the whole sport around. It got everybody's attention. People who were watching TV live were jumping up and down in their living rooms.
Cale Yarborough,"I knew Childress was going to help me because my crew told me on the radio. I really appreciate what Richard did, but that is typical of people in this sport."
Andrea Yates,the primary emphasis is on care and not security.
Andrea Yates,I was listening to the radio and they were playing some music in my cell. I heard a voice through the music.
Andrea Yates,"If they drop charges against her, then she'd go to a mental hospital and then the doctors would decide when she's well enough to go home, ... They've treated her like a serial killer, and my feeling all along has been it's a waste of the taxpayers' money to prosecute her."
Andrea Yates,"We didn't see her as a danger, ... The real question to me is: How could she have been so ill and the medical community not diagnose her, not treat her, and obviously not protect our family from her?"
Andrea Yates,We didn't see her as a danger.
Andrea Yates,"Apparently, patient and husband plan to have as many babies as nature will allow. This will surely guarantee psychotic depression."
Greg Yates,"Adding the voice application to a wireless network introduces new challenges. Along with overall security of the network, quality of service becomes a real issue when you are trying to make a call. Our solution offers the best-in-class monitoring and troubleshooting tools available for voice."
Greg Yates,"We're not gonna do anything special. When it comes down to it, they're gonna play on instinct. And they're gonna play on the same instinct they've played with since October."
Greg Yates,"This team has faced a lot of adversity. But different guys have stepped up. We don't have too much experience on the bench, but they're getting the opportunity to know what it takes to get here. And what to expect."
John Yates,"Over the past few years, changes in technologies and print buying practices, coupled with increasing competition, have dramatically affected the offset printing industry. While the printing division is being sold, it will be business as usual."
John Yates,Project management is widely used in service industries because it improves efficiency and communication and reduces the likelihood of surprises. This roundtable will provide general counsel with an understanding of the elements of legal project management and the benefits of its use in managing major legal projects.
John Yates,Smoking puts you at increased risk of losing your sight in old age and the more you smoke the higher the risk. Smoking also increases the risk for the people living with you. So these are two good reasons to stop smoking.
Robert Yates,"They only have one place in victory lane, and I think it would be better if they were all individually owned. That's not what Jack Roush, my partner in the engine business, would be happy with."
Robert Yates,"When we go to a race, we go to win. We don't think we can win this race."
Robert Yates,"The fact that Davey was killed in a helicopter accident, not in a race car, didn't make it any less of a struggle,"
Robert Yates,"I know our whole point is to race on Sunday and sell on Monday, so that's the part that I want to make sure we kick their butt. I'm sure they want to kick ours, but I think NASCAR handles the competition side of it so we can be competitive."
Robert Yates,They should go ahead and sell some tickets. They could have a race tomorrow.
Robert Yates,"You can tell when somebody's cheating, just watching. Their hair's falling out. It's turning gray. They're not having near as good a time."
Simon Yates,"The [February] enterprise CTP release has a lot of new features that address these key pain points. By giving its users a feature-complete version of Vista earlier in the process, enterprise customers will have a lot more exposure to -- and a much greater understanding of the impact of -- these new capabilities."
Simon Yates,Forrester believes that firms are more interested in stability and consistency in the PC environment than in new features. And Windows XP meets the vast majority of its users needs.
Simon Yates,"Computers, Internet access, cell-phone technology and simplified web-page design software have all become cheaper and faster in recent years, making it easier to launch some type of at-home enterprise without sinking a lot of money into it."
Tom Yates,"When I was in graduate school there was an article that said the purest monopoly anyone ever had was the general store, because people were limited to how far they could ride, ... There was one general store and Granddaddy Yates had it."
Tom Yates,"I want you to know that I have no compassion for you now. I hope the image of Amy haunts you forever,"
Tom Yates,"We called W.W. Schrimsher 'Papa.' He was the tallest guy and he was a character, ... When I was growing up, everybody in the whole community had a nickname, and he was the one who named them all. He could start calling people a name and it just fit."
Adam Yauch,"There's the guys who are trying to sneak backstage, and there's somebody who's taking a trip to the bathroom and some guy's buying beer."
Adam Yauch,I think most people know it's a goof.
Adam Yauch,? it comes onto the parents' radar.
Adam Yauch,Whatever I thought was funny was kept in there. People definitely (got) into it.
Adam Yauch,"The energy that was in it more sincerely captured a concert than most things I'd seen, and I thought, wow, imagine multiplying this."
Adam Yauch,"My friend calls him 'the director, I need more energy in my section!"
Trisha Yearwood,"I truly think this is one of those places that, for the rest of my life, I'll say 'I played Carnegie Hall.' You know ... that's it."
Trisha Yearwood,"I've said many times that he's an artist's best friend, ... He doesn't try to make you into something; he tries to get out of you what's already there."
Trisha Yearwood,What's meant to be will always find a way.
William Butler Yeats,"Though leaves are many, the root is one;Through all the lying days of my youthI swayed my leaves and flowers in the sun;Now I may wither into the truth."
William Butler Yeats,"I have passed with a nod of the headOr polite meaningless words,Or have lingered awhile and saidPolite meaningless words. . . ."
William Butler Yeats,Words alone are certain good.
William Butler Yeats,Our words must seem to be inevitable.
William Butler Yeats,"Land of Heart's Desire, Where beauty has no ebb, decay no flood, But joy is wisdom, time an endless song."
William Butler Yeats,It would need a great deal of wisdom to know what it is we want to know.
William Butler Yeats,"Where got I that truth? Out of a medium's mouth, Out of nothing it came, Out of the forest loam, Out of dark night where lay The crowns of Nineveh"
William Butler Yeats,"I think it better that in times like these a poet's mouth be silent, for in truth we have no gift to set a statesman right"
William Butler Yeats,That William BlakeWho beat upon the wallTill Truth obeyed his call.
William Butler Yeats,"The years like great black oxen tread the world, and God the herdsman treads them on behind, and I am broken by their passing feet."
William Butler Yeats,"Now I know that twenty centuries of stony sleep were vexed to nightmare by a rocking cradle, and what rough beast, its hour come round at last, slouches towards Bethlehem to be born?"
William Butler Yeats,"You have to die because no soul has passedThe heavenly threshold since you have opened school,But grass grows there, and rust upon the hinge;And they are lonely that must keep the watch."
William Butler Yeats,"Speak, speak, for underneath the cover thereThe sand is running from the upper glass,And when the last grain's through, I shall be lost."
William Butler Yeats,"Romantic Ireland's dead and gone, It's with O'Leary in the grave"
William Butler Yeats,"Hurrah for revolution and more cannon-shot!A beggar upon horseback lashes a beggar on foot,Hurrah for revolution and cannon come again!The beggars have changed places but the lash goes on."
William Butler Yeats,Swift has sailed into his rest;Savage indignation thereCannot lacerate his breast.
William Butler Yeats,In dreams begin responsibility.
William Butler Yeats,"Where, where but here have Pride and Truth,That long to give themselves for wage,To shake their wicked sides at youthRestraining reckless middle age?"
William Butler Yeats,"Half close your eyelids, loosen your hair,And dream about the great and their pride;They have spoken against you everywhere,But weigh this song with the great and their pride;I made it out of a mouthful of air,Their children's children shall say they have lied."
William Butler Yeats,"I have believed the best of every man. And find that to believe is enough to make a bad man show him at his best, or even a good man swings his lantern higher."
William Butler Yeats,Out of our quarrels with others we make rhetoric. Out of our quarrels with ourselves we make poetry.
William Butler Yeats,"I think it better that at times like theseWe poets keep our mouths shut, for in truthWe have no gift to set a statesman right;He's had enough of meddling who can pleaseA young girl in the indolence of her youthOr an old man upon a winter's night."
William Butler Yeats,Life is a long preparation for something that never happens.
William Butler Yeats,"The intellect of man is forced to choose perfection of the life, or of the work, and if it take the second must refuse a heavenly mansion, raging in the dark."
William Butler Yeats,Mysticism has been in the past and probably ever will be one of the great powers of the world and it is bad scholarship to pretend the contrary. You may argue against it but you should no more treat it with disrespect than a perfectly cultivated writ
William Butler Yeats,Caught in that sensual music all neglect monuments of unaging intellect
William Butler Yeats,"Education is not the filling of the pail, but, the lighting of the fire."
William Butler Yeats,Did that play of mine send outCertain men the English shot?
William Butler Yeats,"I bear a burden that might well tryMen that do all by rule,And what can IThat am a wandering-witted foolBut pray to God that He easeMy great responsibilities?"
William Butler Yeats,"Poor men have grown to be rich men,And rich men grown to be poor again,And I am running to Paradise."
William Butler Yeats,"For men improve with the years;And yet, and yet,Is this my dream, or the truth?"
William Butler Yeats,Words are always getting conventionalized to some secondary meaning. It is one of the works of poetry to take the truants in custody and bring them back to their right senses.
William Butler Yeats,"I believe in the practice and philosophy of what we have agreed to call magic, and what I must call the evocation of spirits, though I do not know what they are, in the power of creating magic illusions in the visions of truth in the depths of the minds when the eyes are closed."
William Butler Yeats,To be born woman is to know - although they do not speak of it at school - women must labor to be beautiful.
William Butler Yeats,"The hour of the waning of love has beset us, And weary and worn are our sad souls now; Let us part, ere the season of passion forget us, With a kiss and a tear on thy drooping brow."
William Butler Yeats,"The fascination of what's difficultHas dried the sap out of my veins, and rentSpontaneous joy and natural contentOut of my heart."
William Butler Yeats,"he had an abiding sense of tragedy, which sustained him through temporary periods of joy.'"
William Butler Yeats,Wine comes in at the mouth And love comes in at the eye; That's all we shall know for truth Before we grow old and die.
William Butler Yeats,This melancholy London - I sometimes imagine that the souls of the lost are compelled to walk through its streets perpetually. One feels them passing like a whiff of air.
William Butler Yeats,The innocent and the beautiful have no enemy but time.
William Butler Yeats,Nor dread nor hope attend a dying animal; a man awaits his end dreading and hoping all.
William Butler Yeats,Man can embody truth but he cannot know it.
William Butler Yeats,"I know that I shall meet my fate somewhere among the clouds above; those that I fight I do not hate, those that I guard I do not love."
William Butler Yeats,"I heard the old, old, men say 'all that's beautiful drifts away, like the waters.'"
William Butler Yeats,Choose your companions from the best; Who draws a bucket with the rest soon topples down the hill.
William Butler Yeats,Cast your mind on other days that we in coming days may be still the indomitable Irishry.
William Butler Yeats,But was there ever dog that praised his fleas?
William Butler Yeats,"Be secret and exult, Because of all things known That is most difficult."
William Butler Yeats,"An aged man is but a paltry thing, a tattered coat upon a stick, unless soul clap its hands and sing, and louder sing for every tatter in its mortal dress."
William Butler Yeats,All empty souls tend toward extreme opinions.
William Butler Yeats,Man can embody truth bet he cannot know it.
William Butler Yeats,"The light of lights looks always on the motive, not the deed, the shadow of shadows on the deed alone."
William Butler Yeats,"You that would judge me, do not judge alone this book or that, come to this hallowed place where my friends' portraits hang and look thereon; Ireland's history in their lineaments trace; think where man's glory most begins and ends and say my glory was I had such friends."
William Butler Yeats,Accursed who brings to light of day the writings I have cast away.
William Butler Yeats,"Think where man's glory most begins and ends, and say my glory was I had such friends."
William Butler Yeats,"How far away the stars seem, and how far is our first kiss, and ah, how old my heart."
William Butler Yeats,"If suffering brings wisdom, I would wish to be less wise."
William Butler Yeats,"Come Fairies, take me out of this dull world, for I would ride with you upon the wind and dance upon the mountains like a flame!"
William Butler Yeats,"Joy is of the will which labours, which overcomes obstacles, which knows triumph."
William Butler Yeats,To be born woman is to know -- although they do not speak of it at school -- women must labor to be beautiful.
William Butler Yeats,"We make out of the quarrel with others, rhetoric, but of the quarrel with ourselves, poetry."
William Butler Yeats,Do not wait to strike till the iron is hot; but make it hot by striking.
William Butler Yeats,"Come away, O human child: To the waters and the wild with a fairy, hand in hand, For the world's more full of weeping than you can understand."
William Butler Yeats,"Being Irish, he had an abiding sense of tragedy, which sustained him through temporary periods of joy."
